r-gram,Counts
ocf,205496
cff,67246
ffo,34249
foc,157611
occ,175904
ccf,125541
cfc,356062
fcm,73164
cmc,163247
mco,71478
cof,111318
off,46947
oco,321701
coc,598520
fcf,117951
ffc,81786
fcc,88275
fco,174922
fff,36925
ofo,53457
cfo,71861
ocm,78701
mcm,32640
cco,159269
cmf,35694
mfc,5940
foo,1997
ooc,12250
cfm,11481
fmc,38988
mcc,50089
ccm,29458
mfo,19700
mcf,57662
mff,11367
mfm,5534
ffm,9525
ofm,22898
fmo,3605
mof,1087
cmo,10933
moc,13420
fmf,6165
fof,18889
ofc,10524
coo,12782
com,4750
omc,5246
cmm,4089
mmc,4389
mmf,359
fmm,680
fom,770
oof,2532
omf,323
ooo,26
moo,33
ccc,219
mom,25
oom,30
omo,5
mmo,22
omm,1
mmm,1
