r-gram,Counts
gbgi,12087
bgih,8925
gihf,6563
ihff,6794
hffg,20552
ffgb,4300
fgbg,8038
gbge,3337
bgeh,6981
gehi,5938
ehii,10047
hiig,4898
iiga,3248
igag,3433
gagd,2137
agdh,1934
gdhe,1676
dheh,1268
hehc,22511
ehcc,8085
hcci,41257
ccib,5117
cibi,2735
ibic,1460
bicg,5355
icgi,3461
cgih,6748
gihc,13362
ihcc,10725
ccid,6815
cidi,5346
idii,1386
diid,77
iida,503
idag,707
dagd,221
agdg,3326
gdgb,7835
dgbh,5067
gbhc,14461
bhci,12250
hcib,4064
cgii,1753
giic,3294
iicg,3939
cgig,2863
giga,3284
gagi,5603
agih,9003
gihe,3564
iheg,6016
hegb,12196
egbg,8584
bgii,8019
giid,2292
iidi,821
idic,652
dici,51
icih,296
cihe,6018
giig,2129
igaa,1315
gaai,2937
aaih,1035
aihb,2959
ihbg,6862
hbgb,6912
bgbh,14077
gbhb,7664
bhbh,10282
hbhc,11594
bhcg,11489
hcgf,6125
cgfg,5659
gfga,1829
fgah,2579
gaha,3073
ahaa,9585
haah,8215
aahf,3882
ahfg,2404
hfgg,842
fgga,878
ggaa,969
aaib,1337
aibg,2592
ibge,2610
ehih,7557
hihg,635
ihga,309
hgac,316
gach,688
achc,308
chci,5865
hcic,7080
cicg,10200
giib,4775
iibh,5771
ibhf,10327
bhfh,18192
hfhc,11348
fhcg,2346
gahf,3816
hfgd,702
fgdi,1781
gdia,2681
diaa,3362
iaag,9752
aagb,6156
agbb,1905
gbbh,6755
bbhc,4578
hcig,8591
cigb,5455
igbh,15673
bhbg,7530
hbge,4371
hiib,3158
iibg,3504
ibgf,1296
bgfh,877
gfha,731
fhag,739
hagb,1818
agbh,5244
gbhf,13332
bhfg,12048
hfgh,600
fghc,520
ghcc,105
hcch,15442
cchf,814
chfi,119
hfib,1938
fibg,1110
hagi,5225
agig,6644
igai,3337
gaib,2935
fhah,1606
hahc,5284
ahcc,7498
ccii,2089
ciif,282
iiff,801
iffg,1524
ffgi,5726
fgih,3738
gihb,7801
hbgc,8671
bgcb,4266
gcbi,6786
cbic,2581
bici,914
icib,2193
cibg,5416
ibgb,4928
ccia,12748
ciah,9498
iaha,3090
hfgi,2842
fgig,2546
gigc,5546
igcb,8122
gcbh,15690
cbhb,5669
hbgi,5428
bgig,7335
igcg,4699
gcgb,4736
cgbg,16277
gbgb,18463
agbg,5245
gbgd,7566
bgdh,5052
gdhb,4118
dhbh,4664
hbhf,22265
hfgc,3694
fgcb,1725
cbia,3302
biah,3677
hfgb,7268
gaig,3057
aigi,1986
igig,6602
iahi,2730
ahig,5094
