r-gram,Counts
fbf,7969
bfc,34361
fcc,176463
ccb,229087
cbc,452815
bcc,196859
bcb,172395
cbb,67268
bbc,54196
bcf,52230
cfc,378718
ccf,173790
fcf,160792
cck,82960
ckc,218465
kcb,63056
bck,136080
kcc,112515
bbk,13157
bkc,16940
ckf,4347
kfc,4228
cfb,31346
fbc,21937
kcf,32793
fcb,68009
bbb,5375
ckb,42489
kbc,28617
bbf,9128
bfb,1420
fck,17682
kck,31129
ckk,2550
kkc,1577
cff,5676
ffc,5639
cfk,3865
fkc,2511
kfb,202
kbf,13846
fbb,3125
bkb,4672
cbf,5557
cbk,6907
ccc,3503
ffb,386
kbb,6088
kbk,1412
bff,349
fkb,1728
kkb,1074
bfk,370
fbk,324
bkk,101
bkf,87
kfk,4
