r-gram,Counts
ofm,12130
fmc,36309
mcc,228425
cco,177273
coc,347184
occ,143452
ocf,24911
cfc,229615
fco,63781
cof,50395
ofc,36168
fcm,85359
cmc,473199
ccm,219036
ccf,89528
fcc,113960
fcf,50126
mcm,127179
ocm,120114
cff,7859
ffm,1733
mcf,90813
oco,88307
cmm,14455
mmc,13449
cfm,9758
mco,83576
cmf,53515
mff,10537
ffc,14876
ofo,4214
fof,1303
mfc,32568
foc,16829
cfo,8146
off,2508
cmo,10519
mof,2301
com,10302
omc,7036
mfm,16255
moc,8528
coo,5056
ooc,4243
fmf,2316
ccc,3503
fmo,310
fmm,941
ffo,4295
mfo,2176
fff,2360
omf,3756
oof,1020
mmf,1949
foo,206
fom,493
mmm,8
omm,3
mmo,1
moo,1
ooo,1
