r-gram,Counts
fbf,7969
bfc,22447
fcc,88401
ccb,97908
cbu,80374
buu,50240
uub,58841
ubu,41569
bub,42948
ubc,134756
bcb,129447
cbb,44329
bbc,34724
bcf,36772
cfc,188120
ccf,98529
cfu,73685
fuu,38046
uuf,39526
ufc,88500
fcu,40317
cuf,27306
fcf,124967
buc,9553
ucb,17685
uuk,18677
uku,18463
kub,17274
bcc,92809
cbc,196116
bck,95605
cku,45085
kuu,25967
ubb,22939
bcu,44257
cuk,22673
ukc,62310
kcc,54476
fuc,9699
bbk,13157
bkc,13377
cck,39252
ckc,92607
ukf,1171
kfu,1805
fuf,35825
cfb,23786
fbc,15127
kcf,24485
cub,54653
ufu,28413
fub,28398
kuf,8308
buf,15458
kcb,45782
ufb,7560
bbb,5375
ckb,29250
kbc,18168
buk,40475
bfu,11914
fbu,6810
kbu,10449
bbf,9128
bfb,1420
fcb,39611
bbu,19472
fck,11284
kck,23612
kcu,23426
ucf,8429
ckk,1993
kku,296
cff,4411
ffc,3090
fuk,6398
cfk,3180
fkc,2206
ckf,3176
kfb,202
kuc,8646
ukb,13239
kbf,13846
bku,3563
kkc,1281
uck,2358
kuk,7517
fbb,3125
bkb,4672
ubf,1478
ubk,1372
cuu,2818
cbk,5535
kfc,2423
ufk,685
cuc,558
ffb,386
kbb,6088
ffu,2549
kbk,1412
bff,349
uff,1265
cbf,4079
fkb,1728
kkb,1074
fku,305
bfk,370
ukk,557
fbk,324
ccc,19
bkk,101
bkf,87
ucu,1
uuu,63
uuc,27
ccu,7
kfk,4
ucc,10
