r-gram,Counts
ofm,12130
fmc,28584
mcc,116944
cco,84755
cou,68424
ouu,40857
uuo,49552
uou,31046
ouf,9862
ufc,67280
fco,45114
cof,35696
ofc,21742
fcm,63808
cmc,211497
ccm,111671
cmu,92424
muu,47602
uuf,19880
fcu,26190
cuf,24368
fcf,32411
cfu,38296
fuu,25794
fcc,54255
muc,14119
uco,11970
uum,47612
umu,36993
mum,40125
umc,132285
coc,161713
ocm,85979
uof,14699
mcu,49760
cum,49268
ucf,6017
cff,4644
ffm,1733
muf,24507
ouo,19519
uoc,86001
oco,68788
oum,34135
mcm,87054
umm,2878
mmu,3902
mcf,66306
cfc,103633
ccf,39263
cfm,7175
muo,16520
fuc,7721
ocu,32050
cuo,30996
ufu,20406
fuf,17715
mco,67056
umf,18387
mff,10537
ffc,9140
ofo,4214
fof,1303
occ,64487
cmm,11577
mmc,9547
fmu,7725
cmf,35128
mfu,12584
fum,21551
fou,7726
mfc,19984
ofu,14426
ouc,6058
ocf,15049
cfo,5298
foc,9103
ucm,10485
fuo,18667
uff,3215
ffu,5736
off,2508
cmo,8371
mof,2301
com,7831
omc,5207
mfm,16255
moc,6300
coo,4019
oou,1007
uoo,1037
fmf,2316
uom,2471
omu,1829
cuu,2818
umo,2148
mou,2228
ufm,2583
cuc,558
fmo,310
fmm,941
ooc,3236
ffo,4295
mfo,2176
ufo,2848
fff,2360
omf,3756
oof,1020
mmf,1949
foo,206
fom,493
ccc,19
ucu,1
uuu,63
uuc,27
ccu,7
mmm,8
omm,3
mmo,1
moo,1
ucc,10
ooo,1
