r-gram,Counts
foc,13306
ocf,19333
cfc,66229
fcc,46099
ccc,18863
ccf,41359
cco,25921
cof,18511
off,4236
ffc,24324
fco,23067
coc,46666
oco,11931
coo,1259
ooc,1404
occ,24677
cfm,18369
fmc,18243
mcf,11803
mco,5979
ofc,15371
ofo,2502
cfo,5408
fcf,38697
cff,21186
ffm,5594
mcc,18445
fff,8423
ocm,5851
cmc,22153
ccm,21941
cmm,81
mmc,235
com,462
omc,587
ofm,941
cmf,21331
mfo,7025
mcm,4991
fof,4246
ffo,3208
cmo,284
moc,417
fmo,183
fcm,11066
mfc,13005
fmf,7415
oof,243
mff,7704
mfm,1096
fom,204
omf,79
foo,388
fmm,159
mof,50
mmf,5
ooo,1
