r-gram,Counts
bfc,15974
fcb,14588
cbu,6522
buu,4570
uuc,2798
ucf,18625
cfu,28599
fuu,23904
uub,5356
ubu,3769
buc,3644
cfb,15247
fbf,18814
fcf,42066
cfc,32133
cff,14313
ffc,13081
fcc,14508
ccf,16760
fuf,26429
ufc,25680
uuf,25528
fcu,15705
cuu,5208
ucc,1355
uff,11077
cuc,3816
bff,5133
fub,12748
ubb,7871
bbc,8669
bcf,12841
bfb,3397
bfu,10141
cbb,9893
bbf,3890
fbb,4885
bcb,5644
cbf,5803
bub,4764
bcc,5807
cbc,6357
bbu,10090
buf,10203
ffu,13884
fuc,14317
ucb,4423
bcu,6681
ubc,9097
ccc,2530
ccb,3920
bbb,6119
ufu,24774
ufb,11147
fbc,6850
fbu,2800
ubf,6137
uuu,3998
ffb,3558
ucu,172
cuf,10518
fff,1455
ccu,990
cub,4006
