r-gram,Counts
foc,7183
ocf,14023
cfu,13601
fuu,9241
uuc,2798
ucf,10993
uuf,15185
ufu,9319
fuc,5224
uco,7252
cof,11363
off,6636
ffc,13443
fco,13444
coc,17148
oco,9496
coo,487
ooc,644
occ,6034
cco,6802
cou,12527
ouo,7390
uoc,15082
ouu,11177
ufc,17869
fcu,11514
cuu,5208
ucc,1355
uoo,576
ocu,7805
cuc,3816
ccm,4074
cmc,5700
mcc,3426
ccf,9804
cfc,15642
ofo,4877
fof,4480
ofc,8067
ouf,8983
uff,8079
fcf,16336
ofm,859
fmu,16752
muo,5636
cff,10378
ffm,5269
fuf,11116
fou,6542
fcc,10855
cfm,16101
uuo,12800
ocm,2855
cmu,8993
muu,8056
fom,157
omu,382
muc,5355
ucm,4803
mcf,7387
cfo,2821
ouc,7382
mcu,3067
foo,355
oum,1220
umc,1826
ccc,2530
fuo,8088
fmm,296
mmc,83
fmc,13499
mco,4718
fum,1035
umu,3149
muf,9510
ufm,13890
mum,1166
mcm,2682
uou,16075
ffo,4645
cmo,364
moc,157
fff,4916
ffu,6162
fmo,390
mou,481
oou,527
omc,172
fcm,4198
ufo,2724
uof,8633
ofu,4412
uuu,3998
oof,247
uum,2899
ucu,172
cuo,6684
ccu,990
cuf,7087
cmf,3342
mfo,3649
com,187
fmf,5529
mff,4426
mfu,1210
mof,128
mfc,1326
cmm,213
mmu,447
umf,2042
cum,753
omf,22
mfm,347
uom,232
mmf,23
umo,12
umm,44
