r-gram,Counts
igei,1010
geid,779
eida,256
idaf,293
dafg,929
afgd,1218
fgda,1470
gdai,1662
daid,429
aidb,94
idbg,530
dbgi,767
bgig,3768
gigb,1502
igbg,1252
gbgb,977
bgbg,1564
gbgf,1597
bgfg,1931
gfgg,1814
fggb,395
ggbf,221
gbfg,876
bfgd,112
fgdg,694
gdgc,1582
dgcg,2335
gcgb,1406
cgbg,1705
gfga,1940
fgad,1009
gadg,7196
adgf,1771
dgfa,641
gfad,388
fadb,33
adbf,38
dbfg,420
bfgc,238
fgcg,955
gcga,3434
cgag,2954
gagg,3457
aggb,722
dgcd,121
gcdb,390
cdbe,42
dbeg,388
begc,443
egcb,109
gcbg,1301
cbgc,161
bgcg,1977
gcgi,2293
cgig,2454
gigg,2987
igge,208
ggeg,558
gega,224
egai,179
gaii,2343
aiic,835
iicg,1831
icge,184
cgeg,276
egad,56
gadb,266
adbe,18
gigi,2498
igig,1823
giga,2600
igag,2531
gagb,2050
agbi,1135
gbii,1153
biig,183
iiga,409
agbd,597
gbdb,70
bdbe,16
igii,307
giib,339
iibi,458
ibii,333
biic,496
iici,781
icig,1750
cigc,1238
igcg,3918
cgbf,209
bfgf,369
fgfi,107
gfid,297
fidi,184
idii,378
diib,190
iibg,1834
ibgb,331
bgbe,92
gbeg,1491
gigd,3129
igdg,1955
gdgf,1176
dgfg,1282
gfgd,1493
fgdi,430
gdii,1088
diic,518
iice,13
iceg,89
cegf,31
egfi,133
gfic,392
fici,98
icii,958
ciia,1257
iiag,2808
iagc,417
agcg,1797
gcgf,1004
cgfg,1210
fgdd,113
gddg,945
ddgf,158
gddb,30
ddbe,4
iggd,487
ggdf,167
gdfi,350
dfic,138
cigd,342
igdf,195
ficd,24
icdb,200
iggf,494
ggfg,1342
gfgc,988
fgci,365
gcig,1046
cigf,307
igfg,1393
fgcd,58
iggc,1905
ggcg,2316
gcgc,3399
cgcg,2690
bgbi,239
icgc,499
bgbd,57
gigc,3993
gcgd,2968
cgdi,759
gdic,1511
dici,660
icic,127
cicg,312
icgd,568
dicd,281
dgff,710
gffc,307
ffci,60
fcic,64
cici,395
icid,171
cidg,319
idgf,405
cicd,473
igbi,368
biii,227
iiie,83
iiei,83
ieic,32
eici,48
ciif,307
iifg,713
ifgd,326
gdgb,568
dgbg,1821
gbgd,2027
bgdb,317
gdbi,245
dbii,216
iied,15
iedb,1
edbe,3
gbic,215
bici,97
iifi,131
ifia,142
fiag,368
iagd,1127
agdi,967
gdgi,1418
dgig,3175
dgbe,24
gagc,1376
cgci,971
gcib,269
cibg,312
ibgi,607
gbia,552
biag,417
cgcd,523
cdbg,391
igbd,38
dgfi,511
gfii,1036
fiic,468
agda,1642
gdag,5212
dagd,1625
agdb,690
gdbg,1846
igif,7
gifg,425
ifgi,488
fgig,1588
gigf,1672
igfi,654
fiib,211
ibig,48
bigc,319
igci,1806
gcif,148
cifi,41
ifii,330
igcd,2103
iggb,299
ggbg,1259
gbgi,2312
bgii,623
giig,318
iigb,131
bgid,132
gidb,94
idbe,71
