r-gram,Counts
af,22436
fg,92714
gb,54197
be,4646
ei,24179
ii,61383
ig,64708
bg,86963
gg,168926
ge,46133
eg,63791
gd,139864
dd,12160
di,46817
ia,53194
ae,4811
gf,113358
gc,109603
cb,7877
bi,28963
fe,3758
cg,95041
gi,72952
ie,22923
ib,28797
ga,138735
ag,180553
fi,29451
fa,16895
ai,54901
id,71535
da,63898
ad,24185
dg,91072
cd,8845
fc,8181
fb,15463
fd,7337
de,11984
ci,41236
dc,16709
aa,10834
db,15772
ff,1075
ic,33284
if,24058
ca,21017
ac,4151
eb,2010
ab,2866
ec,2729
df,5597
ee,625
ba,163
bf,5520
cf,277
bb,1058
bc,663
cc,691
ce,1026
bd,64
ef,2553
ed,19
