r-gram,Counts
ucf,67450
cfc,125498
fcc,46668
ccb,15806
cbb,16037
bbf,13365
bfc,21919
fcf,159500
cff,93389
ffc,65401
cfu,88722
fuu,68063
uub,23675
ubu,30058
buc,21265
cbf,15529
ccf,40301
cfb,30900
fbc,10376
bcf,71258
fcb,67666
cbc,45469
bcb,25888
fuf,120032
ufc,110473
fcu,49456
cub,10938
buu,23965
uuu,8751
uuf,69182
ufu,92039
cuf,26815
bcc,7230
uuc,9469
cuc,6289
ffu,76460
uff,51382
fuc,47302
cbu,46794
fff,9788
bbu,21542
buf,55596
fbu,26335
ubc,38536
bfu,21378
ucb,14469
bbc,14681
bub,23903
cuu,10298
fub,43202
ufb,17731
fbb,16342
fbf,19899
bfb,7044
ubb,17209
bff,14367
ffb,17277
ccc,1847
bbb,11795
ubf,15915
bcu,4686
ccu,198
ucc,2407
