r-gram,Counts
uco,22598
coc,54411
occ,18970
ccm,21493
cmf,22897
mfm,13787
fmc,28809
mcf,41295
cfm,37588
mco,28353
cou,33282
ouu,26585
uuf,32304
ufu,51331
fuc,31030
ucm,24683
cmm,31769
mmc,17678
mcm,39543
ccf,17419
cff,14858
ffc,16928
fcc,24552
cmc,57589
cmo,9639
moc,4145
ocm,36400
cfc,58967
fcm,45313
cmu,45538
muo,27213
uoc,51735
ocf,25886
fco,33686
mfc,14478
fcu,26224
cuf,18358
fuu,39371
uuu,8751
uum,18028
umu,19618
ocu,14860
cuo,12484
oco,22715
cof,30199
ofc,18529
mcc,10376
muf,33008
ufc,71994
cco,17195
oum,12795
muu,26072
uuc,9469
cuc,6289
fcf,51121
uuo,42525
mmu,17064
mum,17454
umo,3086
mou,9756
ouc,18135
ucf,34638
fmu,40510
uof,24790
muc,19402
umm,14510
uou,51148
off,7942
ouo,15482
cum,6911
com,3642
omu,419
cfu,56696
fuo,32586
ouf,28956
mff,11145
ffu,19337
fum,24006
fuf,51233
cuu,10298
ofu,33281
umc,25280
mcu,13058
fmf,8929
fff,10339
mmf,13492
mfu,17581
moo,368
oof,1538
umf,16700
uff,19920
ufm,16896
ofm,1681
mof,2125
mfo,5304
fou,6364
ccc,1847
fmo,2594
ffm,13605
ufo,3718
coo,3013
ooc,2872
foc,5668
uoo,2057
mmo,1154
cfo,2250
ccu,198
ucc,2407
omc,3270
oou,1403
ffo,3995
fof,5106
omf,277
uom,560
omm,394
fmm,2715
foo,375
ofo,2325
fom,79
mmm,429
mom,114
omo,35
ooo,30
