r-gram,Counts
cfc,633920
fck,112176
ckc,333120
kcb,42594
cbc,188224
bck,48869
kck,67136
kcf,169348
ckf,15009
kfc,17885
fcf,243518
fcc,285461
ccb,65581
kcc,86563
ccc,36587
ccf,227816
cck,137188
bcf,99479
bcc,58561
cbb,14442
bbc,12619
cfb,51727
fbc,29787
fcb,108535
ckb,15972
kbf,7959
bfc,60201
bcb,32815
cbf,37160
fbk,9485
bkc,16399
cff,38295
ffc,37685
cfk,16220
fkc,14649
bkf,2002
fbf,13845
cbk,9699
kff,175
ffb,3034
bff,2421
bbb,1133
bbf,4683
fff,1814
bkb,2268
ckk,1268
kkc,1473
bfb,901
kbc,9094
fkb,637
fbb,2685
fkf,1346
bkk,168
ffk,172
bfk,124
kbb,766
bbk,591
kfk,157
fkk,41
kfb,140
kbk,1062
kkb,4
