r-gram,Counts
fcf,53539
cfb,26439
fbf,10585
bfc,20393
fcc,62202
ccf,64406
cff,5337
ffc,5214
fck,46652
ckc,168358
kcf,52322
cfc,172434
kcb,36768
cbc,121803
bcc,46125
ccb,46298
bcf,38861
fbb,8566
bbc,15569
ccc,9682
bcb,26095
cbk,13443
bkc,22161
fcb,36438
cbf,5068
cck,55948
kcc,58325
bck,31411
bkb,1404
kbf,5664
bfb,2380
fbc,4521
kck,50173
fbk,5719
bfk,570
fkc,5387
ckb,13617
cbb,5285
bbk,1608
kbk,3191
bbf,2378
bkf,142
kfb,104
ckk,1446
kkc,1682
bff,352
kbb,5704
kbc,599
cfk,4918
ffb,468
bbb,1365
ckf,763
kfc,790
bkk,254
kkb,18
fff,34
fkb,119
ffk,16
kfk,2
kff,9
