r-gram,Counts
cfc,210283
fcf,208310
cff,32883
ffu,26354
fuf,156220
ufu,132411
fuc,61676
uck,22951
cku,27817
kuc,9866
ucb,19681
cbu,54158
buc,18618
ucf,53826
fcc,42596
ccf,82368
fcu,49841
cuf,56433
ufc,132977
cfu,188732
fub,115599
ubc,102958
bcb,35494
cbc,79529
bcf,70192
bcc,45184
cck,12650
ubu,45623
buf,43181
fck,38729
ckc,64576
kcu,24074
fcb,82956
bcu,47526
cuk,23713
uku,14405
kuf,13534
ufb,17207
fbc,16412
kcf,42269
uff,15293
ffc,25782
cbf,44962
bfc,52936
fuk,36979
ukc,66672
kcc,41161
fuu,34207
uub,22133
ccb,30003
cub,41555
uuf,28526
ubf,59145
bub,34687
cfb,25064
cuc,3580
ckb,2772
kbc,670
kbu,483
bfu,56036
kcb,21570
cbk,4422
bkc,5008
bck,14920
kub,11714
kck,7211
kuk,4607
ukb,630
kbf,1684
uuk,8354
buu,19372
fbf,10560
bfb,4971
fbu,12831
buk,8144
cbb,6633
bbu,10907
uuc,5009
bkf,418
kfc,454
ccc,3826
ckf,1293
ccu,4702
kuu,8072
ubb,15470
bbc,13747
ucu,1509
ubk,2491
fbb,4268
ucc,782
bff,4584
cuu,2371
bkb,492
kfu,1148
fff,1811
bku,5566
bbf,2192
ffb,665
uuu,2640
bbb,380
kbb,785
fbk,3990
kfb,154
kbk,272
bbk,310
kff,41
bfk,16
fkc,26
ukf,86
ckk,3
kku,5
ukk,4
ufk,6
cfk,4
kkc,3
bkk,1
