r-gram,Counts
cmc,158645
mco,64011
coc,115454
ocm,72850
cmo,8767
mou,6761
ouo,34370
uou,58913
ouc,25994
ucm,49062
cmu,113655
muc,37934
ucf,22035
cfu,71369
fuc,26232
cfc,80289
fcf,37641
fcc,33285
cco,34511
ocu,23510
cum,55104
umc,152451
mcf,67737
fuf,47509
ufc,95643
fco,47566
cou,85683
ouf,68234
ccm,56194
fuo,22088
uoc,54513
ocf,59093
fum,38284
umu,79867
muf,56102
ufu,53659
fcm,50043
mcu,61352
cuo,27090
mum,63279
umm,2985
mmc,2659
mcc,72919
oco,55617
mcm,67093
oum,62853
umf,6269
mfc,6374
umo,4691
moc,6389
uoo,2324
oou,4451
uco,25361
cfo,44866
foc,51809
fuu,15522
uum,26744
muo,31946
ouu,15429
cuf,39507
occ,22737
uuo,12233
coo,5895
ooc,5642
ufo,56129
cmm,4174
fcu,36579
cuc,3580
mmu,4698
ccf,34316
fou,51072
cfm,12551
fmc,12499
com,6843
omc,6858
fmu,18007
mfo,3705
muu,30700
cff,11747
ffo,3387
fom,1715
omu,3734
ufm,8482
cmf,10002
mfu,2914
uuf,20036
uuc,5009
fmo,639
ccc,3826
uof,9934
ofc,10172
ffc,12636
ccu,4702
uff,17475
ucu,1509
fff,904
ffu,11540
ucc,782
uom,2043
foo,2548
ofu,10153
fof,3672
cuu,2371
fmf,1547
cof,13191
mff,766
ffm,3960
fmm,451
oof,676
mfm,4320
ofo,2729
off,1535
uuu,2640
ofm,3830
mmf,253
mof,946
moo,2
omf,8
omo,1
