r-gram,Counts
ccf,81930
cfc,468526
fcb,116140
cbf,20734
bfc,36254
cbc,302265
bcb,80525
cbk,7458
bkc,22275
kcf,131647
cfb,49677
fbb,12430
bbc,42740
bcc,88302
fcf,212818
bcf,151610
cff,55954
ffc,51006
fck,157626
ckc,324934
kck,70963
kcb,117375
cck,66008
ffb,6339
fbc,30852
bbb,9566
fcc,75251
kcc,33355
ccb,48971
cbb,32554
bck,61615
ckb,22738
kbb,6372
ccc,30073
bbf,5866
kbc,6195
ckf,7017
kfc,6050
kbf,5768
bfb,4551
fbf,10315
bbk,2750
fff,2603
bff,1711
fbk,7702
kbk,5716
ffk,747
fkc,4611
cfk,3848
kfb,732
bkb,1072
bkf,201
kff,427
ckk,1523
kkc,1520
bfk,167
bkk,78
kkb,80
fkb,161
kfk,10
kkk,1
kkf,1
