r-gram,Counts
ucf,7012
cfu,99083
fuf,35011
uff,10716
ffu,10842
ufc,91887
fcf,46270
cfm,16102
fmu,44479
muf,82996
ffm,12439
muc,18978
ffc,7856
fco,38457
cou,41485
oum,36442
umu,98850
ufu,32374
fum,88396
umc,181475
mcf,119764
ufm,24442
fmc,28431
mcm,160495
cmu,148169
mum,135414
cfc,83291
fcc,19851
ccm,42380
cmc,185512
mco,66396
cof,35314
off,3239
cfo,7302
foc,8720
ocm,49883
fmm,2965
mmc,13299
fcm,93596
umo,1754
mou,4532
ouc,12787
uco,8606
ouo,9789
uoc,45837
ocf,31999
ouf,19963
mcc,48634
mcu,20149
cuf,16623
cum,25462
ccf,14718
cmf,26347
mfm,22676
fmf,5373
mfc,4676
cff,13985
cuo,6979
muo,46406
ofc,25854
coc,59953
ocu,4109
occ,10622
ccc,15149
uou,27809
ouu,4538
uum,16912
ccu,10945
uuc,1646
fuu,10188
uuf,8832
fuo,18814
umf,14698
fmo,851
uof,11203
cco,11203
ucm,31587
uuo,6595
muu,18747
mfu,9327
fcu,15389
cmm,12628
mmu,6981
fuc,12916
cmo,5285
fff,3462
mff,7532
oco,20228
ofu,13699
ufo,4006
fof,3195
fou,8990
ofo,1859
fom,1137
omm,483
ofm,6440
com,7066
omc,6721
ffo,4335
uom,3345
mmf,1609
umm,5849
mof,1065
moc,1956
uuu,664
mfo,4600
omu,4062
omf,784
coo,1072
oou,703
mmo,36
uoo,389
cuu,512
cuc,1017
oom,151
mom,374
mmm,339
oof,314
ucc,139
omo,23
ooc,375
moo,22
foo,60
ucu,1
ooo,3
