r-gram,Counts
afgai,812
fgaig,676
gaigd,172
aigdi,63
igdic,204
gdici,588
dicih,76
iciha,147
cihag,48
ihagi,116
hagii,653
agiia,1440
giiaf,106
iiafg,130
iafga,394
gaigc,279
aigcg,319
igcga,288
gcgag,2955
cgagd,1122
gagdg,2565
agdga,1546
gdgai,835
dgaic,758
gaicg,4840
aicga,2263
icgag,5832
cgagg,919
gaggc,819
aggch,683
ggchd,130
gchdh,1471
chdhc,161
hdhci,480
dhcib,518
hcibf,441
cibfh,438
ibfhf,25
bfhfg,21
fhfgg,1161
hfggi,945
fggib,145
ggibi,44
gibig,115
ibigf,479
bigfi,177
igfif,35
gfifg,145
fifgb,2437
ifgbg,2591
fgbga,2457
gbgag,3203
bgaga,1721
gagai,3885
agaia,1818
gaiag,4878
aiagi,2028
iagii,1684
agiii,943
giiic,474
iiicg,1074
iicga,1222
icgah,4376
cgahf,2021
gahfh,5439
ahfhc,9808
hfhcg,5196
fhcgd,4876
hcgdi,5077
cgdif,4719
gdifi,4590
difia,2150
ifiai,1510
fiaig,421
iaiga,295
aigac,268
igacg,571
gacga,1344
acgag,586
cgagc,5882
gagcg,12908
agcgc,5028
gcgcg,9075
cgcga,1122
cgaga,1737
gagah,1641
agahf,1772
gahfg,2937
ahfgb,968
hfgbf,49
fgbfh,55
gbfhc,22
bfhch,11
fhchc,357
hchcb,239
chcbh,179
hcbhf,703
cbhfg,873
bhfgf,1000
hfgfh,1674
fgfhd,1000
gfhdi,1174
fhdic,1388
hdica,694
dicai,668
icaii,527
caiia,231
aiiai,571
iiaib,370
iaiba,252
aibah,256
ibahf,254
bahfh,235
difif,1519
ififg,1608
ifgbi,2364
fgbic,2352
gbicc,1637
bicci,1078
iccib,1065
ccibh,1180
cibhi,2172
ibhii,2131
bhiii,541
hiiib,226
iiibi,250
iibig,81
igfid,74
gfidi,376
fidid,196
ididi,215
didic,157
idicg,1434
dicgi,253
icgib,317
cgibi,105
igfia,99
gfiai,411
fiaic,1775
iaica,388
aicah,339
icahc,1125
cahca,402
ahcag,1751
hcagf,660
cagfi,141
agfii,133
gfiia,83
fiiai,154
bhiia,714
hiiag,467
iiagc,1381
iagcg,4774
agcgf,3282
gcgfg,6332
cgfgg,2653
gfggb,1481
fggbi,3421
ggbig,153
gbigb,341
bigbg,239
igbgb,285
gbgba,56
bgbag,76
gbagf,50
bagff,23
agffc,583
gffch,620
ffcha,1268
fchai,302
chaii,774
haiid,1535
aiidg,2207
iidgb,780
idgbh,337
dgbha,444
gbhag,1349
bhagd,220
hagdd,56
agddi,29
gddid,55
ddidi,6
didih,45
idihd,69
dihdi,53
ihdif,876
hdiff,1010
diffa,986
iffah,4162
ffaha,1270
fahah,203
ahahf,998
hahfh,1904
fifga,3688
ifgai,2227
fgaii,2270
gaiid,3509
agddf,3
gddfg,7
ddfgd,5
dfgda,97
fgdag,534
gdagb,193
dagbi,283
agbif,1120
gbiff,2903
biffc,3483
iffci,282
ffcib,339
fcibh,349
hiiic,153
agcga,2165
gcgai,2705
cgaia,2211
gaiaa,505
aiaag,904
iaagi,207
aagii,161
giiag,1094
iiagd,289
iagdg,1002
gdgag,1183
dgagc,823
agcgb,1024
gcgbh,748
cgbha,234
hagdh,1093
agdhc,1068
gdhcg,1028
dhcga,1422
hcgag,3019
cgagf,2035
gagfi,412
agfid,121
gfidh,340
fidhi,27
idhii,17
dhiii,14
hagdc,14
agdci,19
gdcic,13
dcicg,6
cicga,755
icgai,4354
cgaib,1155
gaiba,318
bhiig,91
hiiga,67
iigag,395
igagd,260
gagdc,48
aiagc,2264
agcgg,316
gcgga,399
cggag,604
ggaga,1638
gagag,5437
agagi,894
gagic,1428
agicg,2541
gicgb,996
icgbi,1814
cgbic,863
biccg,1186
iccgd,168
ccgdi,112
cgdid,316
gdidf,17
didfh,75
idfha,33
dfhai,114
fhaii,925
iidgd,347
idgdi,547
dgdia,124
gdiaa,314
diaag,843
iaagb,480
aagbi,328
agbic,667
gbicg,3120
bicgb,781
icgbg,1869
