r-gram,Counts
fcc,19937
ccb,22176
cbc,42959
bcf,8444
cfc,44947
fcb,9658
cbb,11608
bbc,11409
bcb,25777
cbu,14664
buf,5278
ufc,18068
fcf,29564
cfu,15636
fuu,5699
uuf,5767
ccf,23020
buu,6579
uuk,3326
ukc,11954
kcb,9713
bub,9522
ubu,7452
buk,6575
ukb,1496
kbc,1388
bck,16050
cku,7193
kub,2829
ubc,21290
fuf,8709
ufu,6938
fuc,3204
ucb,4856
bcc,21476
cck,6436
ckc,17991
uku,3134
kuf,1771
uub,7267
bcu,8697
cub,9926
ukf,295
kfc,720
fub,7994
ubb,8024
bbf,1416
bfc,3880
fcu,8876
cuf,6387
kbb,1108
cfb,6738
fbb,2221
bfu,2718
kbf,163
bbu,7469
fbc,3398
kcu,4077
kck,4579
ckf,1010
bbb,5963
kcf,4847
bfb,209
kbu,810
ufb,2403
cbf,2281
buc,3784
kcc,10213
fbf,2369
cuk,4447
ucf,3682
cuc,314
cff,1786
ffu,941
bbk,2667
bku,944
kuu,3521
fuk,1180
kuk,1398
cuu,581
ckb,2033
kfu,553
bkc,2770
ubf,589
fck,746
uck,690
fbk,147
ffc,1165
ckk,274
kkc,263
kuc,1917
kbk,300
uff,401
cbk,668
kfb,38
fbu,1343
bkb,240
cfk,450
fkc,452
uuu,133
ccc,31
ffb,90
fku,102
kku,63
ubk,183
ukk,47
ufk,102
ucc,8
bff,9
bfk,2
bkf,6
ccu,2
uuc,20
ucu,3
bkk,5
fff,2
