r-gram,Counts
gbhi,154
bhig,498
higc,222
igcc,911
gccg,12192
ccgf,3369
cgfd,1568
gfdh,1369
fdhc,711
dhcd,834
hcda,2014
cdai,1564
daia,928
aiaa,769
iaag,1451
aagb,607
agbh,1827
gbhb,1420
bhbd,2882
hbdg,726
bdgc,5218
dgcc,9035
cgfh,1454
gfhc,3509
fhci,1736
hcib,4198
cibi,1548
ibii,849
biif,581
iifb,2673
ifbh,2356
fbhc,1976
bhci,1197
bhce,208
hceg,1046
cegf,3297
egfg,4204
gfgb,5511
fgbg,10456
gbgi,2655
bgib,2342
giba,1006
ibai,2191
baic,1000
aici,797
icib,1586
cibb,2543
ibbg,7173
bbge,601
bgeg,3709
gegf,5607
egfc,940
gfcg,7768
fcgf,595
cgfa,1097
gfag,5599
fagi,1048
agie,298
gieh,870
iehf,3132
ehfb,964
hfbg,4789
fbgd,3271
bgda,3414
gdai,2195
daif,2809
aifg,1099
ifgb,1716
gbga,3290
bgai,2391
gaib,2355
aibb,1730
ibbh,1208
bbhb,518
hbdi,1099
bdic,2909
dicc,4220
iccd,1346
ccde,5
cdeg,515
dege,17
egeb,20
gebg,3005
ebgi,118
bgie,311
ehfe,126
hfei,360
feic,251
eicc,794
iccg,5298
ccgc,4291
cgcg,6380
gcgb,6044
cgbi,3167
gbid,1062
bidi,1249
idib,670
dibh,437
ibhb,395
bhbb,371
hbbg,307
bbgb,1380
bgbf,1462
gbfg,4549
bfgf,1400
fgfg,2307
gfgd,6196
fgdi,4166
gdib,2068
dibb,484
bfge,3343
fgef,226
gefg,519
efgd,67
bdig,448
diga,491
igaf,168
gafg,2902
afgd,3021
fgdh,814
gdha,335
dhae,194
haeg,794
aegf,1219
egfb,2870
gfbi,1686
fbib,687
biba,781
baib,635
bdgf,4360
dgfa,3191
fagf,4216
agfg,7383
dhad,863
hadf,579
adfi,1278
dfic,1506
ficg,1182
icgf,1926
gfah,1377
faha,1510
ahai,956
haib,2713
bhba,345
hbai,179
baif,481
aifa,2647
ifag,5000
dhab,338
habg,1630
abgb,1097
bgbi,2757
gbib,4256
bibc,296
ibcg,1629
bcgf,291
ahaa,586
haai,819
aaif,316
fagd,1966
agdg,5416
gdgc,8576
gcci,2686
ccia,620
ciai,658
iaib,1197
fgei,826
geid,121
eida,66
idah,794
dahc,1750
ahci,1451
fgec,511
geci,281
ecif,40
cifb,1260
bhcd,1819
hcdg,3270
cdgf,7468
dgfd,4727
gfda,4570
fdag,4040
dagb,2934
agbg,5644
gbgb,6015
bibb,1117
bdib,1058
dibg,5151
ibgb,2438
bfgg,574
