r-gram,Counts
cou,81967
ouo,76670
uou,58484
uoc,104648
oco,87810
ouf,55144
ufu,43343
fum,26758
umf,8349
mfo,13172
fou,27832
ufc,75241
fco,82586
fcf,84443
cfc,127441
cof,24346
ofc,14467
fcm,22363
cmc,57686
mco,28339
ouu,14891
uuf,13887
cff,39182
ffo,21026
fcu,9889
cuo,13953
occ,47527
ccf,32444
cfo,16592
uof,33503
fcc,40497
ccc,8969
cuf,15369
ufo,9790
foc,37473
cco,54114
coc,135664
ccm,38066
mcf,44526
cfu,77300
fuo,62811
ocu,21522
ocf,105096
uff,21088
ffc,16322
ocm,36032
mcm,21191
mcu,11767
mcc,36597
cmf,18862
mfu,3863
fuu,16269
uuo,24337
ofu,20340
oum,32372
fuf,51104
uoo,9888
ooc,12002
umc,44351
ffu,14883
fff,12581
cmo,6760
mou,4784
umu,31363
muf,16479
mfm,6969
fmc,31217
ofo,9054
umo,4583
coo,7951
oou,6495
cmu,33653
mum,15629
ffm,15586
moc,8200
muo,31967
uum,6583
muu,8212
cuu,5681
mfc,6307
ofm,10892
fmo,1278
foo,864
ouc,485
ucm,620
uom,3215
omc,7210
cmm,1311
mmc,1956
fof,3075
com,5876
omu,1095
umm,854
fmu,6751
ufm,2520
cum,8158
fmf,3274
fom,390
omo,352
fuc,2787
uco,2954
cfm,6688
off,6507
mff,1040
omf,777
fmm,135
uuc,246
ucf,694
uuu,163
mmo,148
mmu,161
muc,736
mof,126
mmf,89
oof,210
omm,54
moo,4
mmm,6
ccu,3
mom,7
ucc,6
cuc,20
