r-gram,Counts
cfc,287196
fcf,147733
fcu,62365
cuf,56769
ufc,146811
fcb,114999
cbu,68190
bub,24330
ubc,117806
bcb,66457
cbb,31035
bbu,7392
buf,52918
cbc,166009
bcu,44344
cub,56793
bcf,132361
fcc,153612
ccb,74628
ccf,151837
ubu,39837
bbf,31493
bfc,28198
bcc,79763
cfu,135464
fub,65504
fuf,71195
ccc,31696
buu,30281
uub,29400
ufu,60924
fuu,51138
uuc,13443
ucf,41268
ucb,22266
cbf,13116
bfu,21653
cuc,2065
cff,20668
ffc,16504
uuu,10867
uuf,45628
cfb,29872
fbc,25662
fuc,42761
ubb,13789
ucc,5181
fbu,6435
ccu,12091
bbb,4127
bbc,13448
buc,14325
ffu,12557
cuu,7052
fbb,7509
bfb,5324
fbf,8363
ufb,12103
ubf,4594
ucu,3879
uff,6672
bff,2391
fff,198
ffb,670
