r-gram,Counts
cga,23276
gai,28825
aia,12597
iad,28423
adi,21362
dic,7699
ica,11488
caa,2053
aai,17508
aid,14479
ida,21655
dad,27060
die,4554
ieh,8511
ehi,2536
hib,1702
ibi,19832
bia,11036
iac,1970
acg,4252
cgb,17401
gbi,40219
big,13305
ige,13052
geg,33590
egc,21118
gcg,55457
cgg,7917
gge,5694
gbh,12036
bhi,7021
hig,6410
igc,14084
gad,42225
ada,8990
dag,27141
agi,9569
gia,14547
iai,14526
aie,12030
iec,3499
ecg,7296
gga,4870
gaf,6040
afi,9264
fie,6211
adg,59535
dgc,19896
gcc,6153
cci,2505
cie,11911
ieb,3539
ebe,2907
beb,3726
ebh,2234
gaa,9765
aad,3646
dga,21371
gag,23241
agd,8733
gda,32362
dig,10017
igb,15633
bie,11109
ebi,6410
hic,1413
icg,26915
cgd,20174
gdg,21117
dgi,14940
gid,8790
idg,14733
gbe,14609
bei,3709
eib,2262
ibg,12331
bgc,13562
egb,17432
bib,11378
cge,15127
geb,10175
ebg,4932
gcb,14221
cbe,8672
beg,27694
egd,17440
gdd,16345
ddg,11759
aii,8994
iid,8094
dgd,16078
gig,24067
igd,15459
dge,9137
egi,16408
gib,8868
add,4068
iie,9244
bee,2609
eeg,6658
ibf,5361
bfg,9597
fgg,6941
ggi,3157
adh,23895
dhc,13248
hcg,11972
cgi,21076
iaf,4076
gic,8933
cgc,19380
beh,2143
ehd,4446
hdd,3090
eha,3538
had,5714
cid,7022
gee,5472
ebc,441
bcg,7062
adc,5658
dcg,10873
ici,11726
cia,6415
ega,21196
dif,1891
ifg,12527
fgd,9771
egf,9348
gfg,26871
fgc,11908
gbb,3876
bbe,862
gca,15685
cag,5734
agf,7379
gfd,3487
fdh,523
dha,6026
hai,3457
iag,15260
agc,24746
gce,4026
ceg,3483
gfi,9920
fid,4686
dai,15013
gfa,5219
fad,2865
idf,1629
dfi,1858
fia,6086
iaa,7987
iei,7610
eia,2397
fge,10964
gei,10247
ibh,3872
ibe,10841
gdf,2484
ehe,3125
hei,2010
aif,12500
gdi,13042
dia,5104
gii,14609
aga,10321
gbg,15612
gcd,6340
cda,4416
ifh,4319
fhg,519
hge,976
bii,10792
iif,1118
ifi,6502
bha,3593
haa,1292
ccg,6209
gbc,4600
bci,1754
cic,4528
dgg,6617
ggc,4902
age,8905
did,4090
ggd,5459
gci,24752
cig,11602
gbf,5528
ieg,37352
aib,8483
hii,2912
iib,7706
fga,12962
eef,310
efi,1854
fib,7641
ege,7719
afg,7738
geh,6614
ehb,2540
hbg,1988
bge,3862
iic,8482
cad,14353
ggb,4865
eif,1206
hci,6774
gie,5134
iia,12869
idd,7899
dgb,17055
fgb,8081
bhc,2805
iii,8071
gef,5413
dda,4646
daa,7831
fhc,1179
hcc,758
cbi,4964
bid,8693
aig,6186
cgf,7475
cai,4226
cib,3481
ibc,3185
aci,1928
dhg,1484
hgc,789
bic,10634
gec,3918
agg,2931
gdh,4569
hgb,786
ggf,6648
bgg,1652
bhd,3974
gih,1418
ihc,610
ibb,2367
fag,2507
bhe,2888
eic,6501
icb,4920
icc,1953
bhg,814
hga,879
iig,18131
ihb,338
hbe,1211
ihf,45
hfi,902
dgf,11523
fah,92
ahg,560
ddi,5992
dii,14307
idh,3404
dhe,2359
heh,1086
iga,14645
aag,6691
dfg,3711
fif,4633
fhb,809
hbh,1987
heg,5017
fai,1004
idi,9647
bih,187
ihe,386
dhb,2161
hbf,880
agb,12675
bhb,2270
hbi,3158
adf,557
ief,616
efg,5071
ecc,163
cif,1193
ifd,499
fda,2335
aic,9054
cah,761
ahe,481
eeh,1337
cch,460
cha,1255
cii,8865
afh,775
aaa,627
ddh,9673
dhd,12005
hda,11230
hcd,763
cdg,1428
hia,2411
hec,728
igg,4521
hca,1508
dib,6269
bbg,1198
cee,219
fhd,1905
hdg,6816
bgi,5916
cdd,1138
fgi,7357
dac,804
gfc,1890
fci,705
egg,4823
iee,2385
eie,2493
dhf,1305
ebb,854
bbi,1811
ehc,2327
igi,9291
bgf,4430
gfb,4678
fbe,1443
cdi,661
dah,2288
ahb,451
hdi,3979
eii,4612
dhi,4455
bbc,67
bch,418
chi,1171
hid,1326
bbh,3516
hih,642
ihd,1417
ifc,881
fcg,1789
gfe,983
feg,1464
igf,6512
fbi,2854
daf,5459
eee,428
hag,4665
dci,3665
ddd,2460
gdc,6451
eig,2566
cbf,1035
cbb,389
gfh,1774
bif,2555
bbb,80
gff,253
ffi,123
fii,726
ich,3160
chd,2526
hdh,517
bfi,5030
bgd,2742
bga,5169
aih,239
hfh,378
hgg,193
gde,171
dee,15
eei,2142
bhf,1384
bgb,2577
eec,508
cbc,906
idc,2523
ice,849
deg,194
fch,421
chg,1324
hgd,992
cbh,988
fbh,102
hfg,2822
ehg,693
aha,866
gch,2826
hgf,542
iah,1190
ffg,281
chc,1706
cdc,73
ife,776
eid,4416
cac,924
fhe,949
eci,1217
fgf,1218
dih,1111
fhi,1694
hdc,1423
gba,24
bag,17
ahc,1542
hcb,565
cbg,2967
ahi,664
gah,2214
eeb,871
bec,381
cec,282
chb,1047
hie,826
hbc,200
hgi,594
ach,181
hif,272
cei,449
ggg,814
fei,387
fbf,39
afd,570
fdg,1229
ebf,2009
gac,2329
icd,1134
gea,7
eag,3
cdh,462
gif,1942
faa,108
fdi,358
dfc,89
chf,153
dcd,18
caf,737
hch,444
ifa,1014
hee,1100
gcf,924
cfg,584
heb,1082
feh,159
ahf,532
fic,5107
che,1043
ceh,520
cef,89
iha,498
ifb,649
ihg,357
ech,659
hdf,1140
hfa,408
haf,1295
ddc,190
fig,913
ahd,2016
cfi,671
iae,11
aee,6
ihi,373
fbg,839
hbb,192
fha,1076
afc,36
ade,82
deh,48
ceb,346
dfd,9
aaf,739
ehf,1215
fhf,114
bef,303
bbf,334
hah,323
aah,243
dch,1656
gae,15
bcb,124
hac,102
iih,173
ddf,392
gdb,307
dbi,371
iff,143
dbb,90
hce,500
dcc,107
hef,208
aac,214
bfc,138
bfh,281
bfe,150
adb,142
faf,139
icf,206
hcf,133
cab,11
abi,70
fec,31
fee,20
cdf,134
eih,124
fbb,13
gab,35
hfe,159
idb,66
afa,100
dfh,655
fef,10
fih,121
fdd,112
dbg,36
fbc,75
hde,31
iab,19
acf,6
dfa,14
dfe,6
dae,14
aeg,32
dec,25
dab,24
hdb,63
cae,4
fac,38
fca,56
ccd,2
fdc,41
dei,23
dbe,18
hfc,26
def,7
abh,2
abe,2
dbf,38
aeb,6
abb,7
cfc,1
fcc,17
ccc,17
deb,12
ece,5
ide,40
fdf,8
bfd,9
dca,13
cfh,48
dbh,12
dbc,13
abg,7
bah,1
cih,9
feb,30
hae,2
fcd,15
hfd,31
dcf,21
efe,17
baa,3
bcd,39
bcc,19
ecb,30
bcf,20
efh,14
bca,51
hfb,13
cfe,10
bfb,22
ffh,1
hff,9
dfb,2
bce,2
aeh,2
bad,2
fcb,53
dcb,5
cfd,1
bai,2
ccf,2
dce,1
hab,2
fce,5
aff,1
fcf,1
abc,2
abf,3
eai,1
ecf,2
acc,11
afb,1
ead,1
ffc,1
iba,1
ccb,3
eaa,2
fab,2
gbd,1
