r-gram,Counts
cou,41229
oum,18018
umu,49108
muu,74229
uum,89204
umc,99588
mcu,34212
cuu,27388
uuf,82152
ufu,47909
fuu,82687
uuu,59328
mcf,69308
cff,38326
ffc,24498
fcf,55457
cfu,70873
fuc,13112
ucm,17853
cmc,147201
mcm,85768
cmf,29705
mfc,16693
fcm,60787
cmo,6428
moc,6783
ocm,34626
mco,38089
coc,59364
ocf,37290
ffo,8949
foc,17651
cmu,73692
uuo,29744
uof,11706
ofu,8680
fum,29709
mcc,72243
cco,29084
cof,22311
ucf,17420
cfc,83434
fcc,35708
ccm,63083
ccc,31091
ccf,44843
oco,20314
ouu,31071
muo,10907
uou,16669
ufo,9488
fco,31474
ouo,8202
occ,28702
ouf,12381
ufm,10433
fmu,21758
ofo,3673
fou,13943
ufc,54635
ofc,10089
fmc,42668
off,5855
ffu,21945
uff,21985
uuc,14275
uco,12080
cum,7890
cuf,7270
mum,30300
uoc,41652
ocu,7474
muc,12910
fuo,19361
cfm,23029
fuf,20847
umf,21474
mfu,16309
muf,21800
ouc,6202
ofm,9834
umo,2434
umm,2517
mmu,3547
cfo,8656
ffm,15909
mmc,4612
fmf,6935
mfm,15151
fcu,5923
com,5406
omu,2041
coo,2732
ooc,2956
fff,8223
mfo,5615
mff,5135
omc,5552
cuo,3850
fom,970
fmo,2040
uom,894
ucc,530
cmm,5091
fof,3222
mou,2803
cuc,2111
mom,541
oou,1230
foo,595
ucu,727
oof,232
uoo,1143
mmf,409
mmm,20
omf,380
mof,660
omo,11
oom,188
fmm,955
moo,136
omm,15
ooo,70
ccu,173
mmo,10
