r-gram,Counts
cfc,390376
fcf,243294
cff,117384
ffc,111745
fcc,176832
ccf,148789
ffm,7706
fmf,17610
mfc,117718
fcm,137841
cmf,115708
ccm,51640
cfo,61632
foc,65518
ocm,56805
cmc,163006
mco,37396
coo,9173
ooc,10159
com,6390
omc,8171
coc,183166
mcm,34084
cof,33199
ofc,34564
fco,96435
ocf,111368
fof,10662
ofo,3739
cfm,28839
fmc,24269
occ,36632
mcf,94779
ffo,11631
oco,55486
cco,42611
cmo,1208
mof,141
mcc,29576
mfo,6957
foo,2408
mff,9044
ofm,2285
cmm,448
mmf,320
ccc,5551
omf,3693
fff,19275
off,4654
moc,1448
mfm,3612
fom,5371
oom,241
oof,1240
omo,206
fmo,354
fmm,209
mmc,389
ooo,197
mom,125
moo,59
omm,57
mmo,5
mmm,5
