r-gram,Counts
ciaig,371
iaigc,721
aigcd,622
igcdg,805
gcdga,831
cdgai,257
dgaii,857
gaiia,854
aiiai,1750
iiaig,737
iaigi,77
aigii,136
igiib,15
giibg,100
iibgi,816
ibgie,1565
bgiei,322
gieid,481
ieidd,708
eiddg,942
iddgi,2269
ddgie,1346
dgieg,718
giegh,131
iegha,184
eghag,171
ghage,306
hageh,4690
agehh,279
gehha,181
ehhag,132
hhage,803
agehg,1066
gehgf,167
ehgfh,211
hgfhd,818
gfhdg,1810
fhdgg,852
hdggc,1863
dggcd,516
ggcdi,1719
gcdif,207
cdifh,680
difhc,859
ifhch,1234
fhchg,272
hchge,33
chgeh,29
hgehe,77
geheg,717
ehegh,215
heghg,148
eghgh,8
ghghe,9
hgheg,154
ghegh,108
hegha,307
eghai,294
ghaig,221
haige,2264
aigeh,2391
igehd,803
gehdd,272
ehddi,298
hddib,242
ddibi,421
dibih,2763
ibihh,731
bihhd,216
ihhdg,148
hhdgd,119
hdgdh,398
dgdhb,282
gdhbi,298
dhbih,72
hbihb,152
bihbg,322
ihbge,210
hbgec,90
bgeci,62
gecic,146
ecich,166
ciche,234
ichei,399
cheid,389
heida,1483
eidag,1072
idagf,1551
dagfg,990
agfga,761
gfgai,1017
fgaib,281
gaibh,832
aibhb,222
ibhbg,918
bhbgi,1326
hbgid,961
bgida,1225
gidag,1387
idagg,1165
daggf,107
aggfg,101
ggfge,79
gfgeh,525
fgehd,144
gehdi,299
ehdib,157
hdibi,897
gdhbh,636
dhbhe,279
hbheg,1383
bhegb,690
hegbi,902
egbih,470
gbihd,516
bihdb,8
ihdbg,9
hdbgd,45
dbgdh,101
bgdhb,305
gdhbg,615
dhbgi,846
hbgie,1020
bgieg,914
giege,218
iegeh,357
egehf,249
gehfi,89
ehfie,15
hfieg,98
fiegi,192
iegii,226
egiie,148
giieh,154
iiehf,136
iehfi,57
ehfid,10
hfide,3
fideg,12
idegi,9
degib,2
egibg,220
gibgi,745
ibgid,1153
gidah,1447
idahh,460
dahhf,48
ahhfi,28
hhfie,30
fiegf,85
iegfh,2075
egfhb,1119
gfhbi,1567
fhbih,447
hbihg,43
bihgd,117
ihgdg,52
hgdgd,34
gdgdd,25
dgddg,39
gddga,79
ddgah,209
dgahf,462
gahfh,1642
ahfhd,1842
hfhdh,790
fhdhi,1808
hdhig,860
dhigg,251
higgc,1219
iggca,3321
ggcai,10252
gcaih,3165
caihh,533
aihhf,35
ihhfi,5
fiegh,108
ieghd,201
eghda,180
ghdai,457
hdaig,1799
daige,1803
gehdg,583
ehdgb,124
hdgbg,1225
dgbgi,19
gbgid,71
bgidd,351
giddh,412
iddhc,301
ddhci,160
dhcii,8267
hciig,1702
ciigf,113
iigfi,20
igfie,100
gfieb,2273
fiebg,799
iebgh,608
ebghg,4
bghgh,21
ghghh,1
hghhd,10
ghhda,39
hhdai,421
igehe,698
gehec,191
eheci,129
hecig,67
eciga,31
cigah,383
igahg,297
gahgd,192
ahgdi,136
hgdig,100
gdigh,53
digha,52
ighag,290
ghagf,364
hagfh,4810
agfhb,1663
gfhbh,2229
fhbhg,221
hbhgh,39
bhghc,36
hghch,39
ghchc,53
hchch,625
chchi,536
hchib,721
chibg,457
hibgh,201
ibgha,182
bghai,195
haigc,272
aigcg,704
