r-gram,Counts
bfc,41092
fcc,69780
ccf,72162
cfu,105318
fuc,31526
ucf,33199
cfc,142460
fcf,150873
fub,25852
ubu,13529
bub,10642
ubf,13246
ccb,10461
cbu,18065
buf,24453
ufc,95189
fuf,83990
fcb,34541
cbf,8639
ufu,56083
buc,6332
ucb,4658
cbc,28585
bcb,14417
cbb,8788
bbu,6868
ubb,7024
bbf,21988
cfb,30470
fbf,20962
fbb,20984
bfu,15587
ufb,23866
fbu,10370
uff,4905
ffu,4651
bbc,7940
bcc,12844
buu,7405
uuf,37189
bbb,7186
fcu,34036
cuf,34411
ffc,10489
fuu,40271
cff,10476
cub,6438
ubc,19620
bfb,6209
bff,1947
fbc,10417
bcf,32490
bcu,6811
uub,10487
ffb,2188
fff,32
ccc,2
ccu,1
ucu,1
