r-gram,Counts
ec,9008
cg,109192
ga,111290
ad,50688
di,55830
if,60726
fg,101438
gd,105545
ia,118072
ae,20185
ei,86389
gf,76439
fb,5773
bi,78053
ac,10887
gb,55258
ig,103385
ge,74395
eg,68884
gc,98841
cf,4883
fi,88886
ie,66594
bg,61991
ib,78421
ee,8200
bc,8847
gg,35030
ai,130509
id,90610
da,77668
ci,71718
ic,71709
ab,10615
eb,12377
ii,76748
db,4108
gi,77694
dg,85498
fd,9325
ag,68850
de,13285
cd,8096
bb,5117
aa,22085
fe,5166
af,37768
fa,8869
df,17826
ba,2276
ce,4279
bf,17644
fc,7575
ef,11357
ca,9350
ch,7453
he,1228
ha,1586
dc,12921
be,3906
dd,22329
cc,15753
cb,6254
hd,1076
ff,1237
bd,1163
hi,438
hb,1074
ea,391
hc,1438
hg,224
ed,633
hf,389
