r-gram,Counts
ccoc,72997
cocc,52044
occo,9833
cocf,46519
ocfc,38868
cfcm,76282
fcmc,99855
cmcc,145943
mccm,58021
ccmc,139574
cmcf,95151
mcfc,73575
cfcc,118160
fccm,61030
cmcm,89198
mcmf,9744
cmfc,29654
mfcm,9097
mccf,48558
ccfc,110358
cfcf,87435
fcfc,96667
fcco,30751
cocm,33674
ocmc,35172
cfco,37590
fcoc,36969
fccf,42950
ccof,8830
cofc,12622
ofcf,4529
ofcc,5029
coco,18377
ococ,17300
occm,20972
mccc,33614
cccm,32052
ccmf,28767
cmff,19474
mfff,3008
fffc,25806
ffcf,20697
mcff,24664
cffc,33498
ffcm,30771
cmco,27772
mcoc,23348
ffcc,26642
mcco,24959
fccc,26967
occc,12881
ccmm,3318
cmmc,7438
mmcc,4359
mcmc,83463
mcfm,3019
cfmc,9408
fmcc,12288
cccf,23341
ccff,17543
ffco,5581
occf,15735
cfff,26116
ffff,5798
fcmf,17346
mfcc,11867
fcom,973
comc,3777
omcc,2562
fcof,8205
coff,8670
offc,8410
ccfm,1866
cmfo,5291
mfoc,4429
focm,5535
fffm,2925
ffmc,6527
foco,1627
mffc,15977
mfco,2291
cofo,1636
ofoc,1494
focf,5172
mffo,473
ffoc,7992
ocff,11442
mmcm,1415
ccco,18069
fcff,18370
cmfm,6027
mfmc,4330
fmcf,4965
ffmf,641
fmfc,1595
mfcf,8059
ccom,1141
cffo,8918
focc,6302
fmff,853
mcof,4762
ocmm,428
fcmm,2565
cffm,3487
ocof,2648
mcfo,1567
cfoc,4721
ofof,208
fofm,251
ofmc,1685
ocmf,4589
fcfo,2071
ocfo,860
cccc,8110
ofcm,4060
mfof,663
foff,771
fmcm,3323
fofc,2170
omcm,671
mcom,1333
fcfm,3612
mfmf,1759
omcf,981
fmco,1374
fmfm,202
ocom,350
offf,637
cofm,1517
mffm,876
ofco,1233
ocfm,1371
ffof,2121
ccmo,416
cmoc,979
moco,163
ccoo,645
cooc,1924
ooco,361
offo,241
ffmm,202
fmmc,511
mmco,448
ccfo,817
fcmo,444
mocf,348
mocm,295
coof,46
oofm,14
mfom,211
fomc,808
cfof,347
omco,452
fffo,1030
mmcf,1728
mcmo,213
cmof,88
mofc,30
mcoo,603
oocc,701
ocoo,230
fcoo,548
oocf,502
offm,164
oocm,743
mocc,374
ocmo,58
moff,7
cfom,161
cfmf,261
mcmm,1187
ffmo,82
fmoc,200
ffoo,196
fooc,317
mfmo,27
fmom,7
momc,44
fmfo,47
mfmm,126
ffom,353
cfoo,86
fofo,147
ofmf,36
oofo,13
mofo,25
coom,27
oomc,37
cmom,38
mofm,27
cooo,29
oooc,38
ofom,86
mfoo,35
fooo,9
ofoo,33
cmoo,26
mooc,28
foof,14
oofc,29
fmoo,2
foom,10
comf,18
omfm,3
ooff,4
cmmf,60
mmfm,10
cfmm,139
cfmo,60
ofmm,47
ofmo,41
fomf,3
omfc,16
omff,3
mmff,4
comm,1
ommc,1
fmmf,3
mmfc,49
como,1
omoc,1
momf,1
fmof,1
