r-gram,Counts
ccfu,20311
cfuu,36922
fuub,25350
uubc,36463
ubcf,37811
bcfu,38907
cfub,29606
fubu,22791
ubuc,18085
bucb,21478
ucbc,23824
cbcf,60597
bcfc,50623
cfcc,30841
fccb,26687
ccbu,19672
cbuc,19858
bucf,20604
ucfc,30897
cfcb,54760
fcbf,11269
cbfc,13999
bfcf,15258
fcfc,46813
ccbc,28277
cfcf,57762
fcbc,54665
fccf,24758
ccfc,26407
ccff,2414
cffu,7642
ffub,5366
ubuu,20678
buub,31191
uubf,2925
ubfu,4056
bfuc,9613
fucb,21761
cbcb,51076
bcbu,30395
fccc,3846
cccb,4025
ccbb,7726
cbbb,8687
bbbf,2314
bbfc,13985
bfcb,25248
fcbu,36635
bcfb,17407
cfbc,10416
fbcb,5148
cbuf,24625
bufc,22963
ufcu,6214
fcub,6463
cubc,5502
ubcb,26341
bcbb,9869
bbfu,10919
bfuu,10703
fuuf,23838
uufc,32205
ufcb,31637
cbcc,26717
bccb,25883
bcbc,41338
fuuc,9926
uucf,11616
ucfu,24035
cfuf,28292
fufu,13388
ufuu,14822
fcuc,4356
cucf,3773
fufb,5254
ufbc,5212
fbcf,9393
cbuu,39416
buuc,9331
fuuu,8093
uuub,9816
uubb,6249
ubbc,4246
bbcu,663
bcub,5344
bufb,5864
fbcc,4723
bccf,24251
ucff,1422
cffc,7899
ffcf,5299
cfuc,26507
fucc,3152
uccf,2779
ubbb,2825
ufcf,29780
fcbb,14020
cbbu,6254
bbuc,3597
fcfu,37360
cfcu,11789
fcuu,5646
cuub,5180
uubu,26088
bcff,8047
ffcb,4932
cbbc,6997
bbcc,3350
cbbf,20001
bfub,8427
fubc,23482
ubcc,20254
fcuf,4237
cufb,918
cbub,22338
bubu,14455
ubub,17955
bubc,25040
ubcu,6121
bcuc,3066
bbbb,966
bbbu,6218
ubuf,11399
ucbu,19121
ubfc,5485
buff,2213
uffu,3210
ffuu,4743
ccfb,6877
cfbb,3203
fbbb,356
bbub,3495
cfbf,22187
fbfc,16835
cffb,2394
ffbc,1760
buuu,10762
bubf,3675
ucbf,5913
bfcc,6767
uufu,17259
ufuc,10808
fucf,23705
ufbb,1627
fbbu,2255
bubb,4313
bbuf,5033
fubb,4285
ubbf,6373
ufbf,7206
fbfu,10380
ucbb,10242
cbcu,9482
bcuf,2781
cufc,4244
cbck,1044
bckc,1126
ckcf,2411
kcfc,1567
bufu,12802
bbfb,3499
bfbf,3818
fbff,3585
bffc,2567
cbfb,2771
bfbc,3420
fufc,24387
cfck,1154
fcku,938
ckuc,572
kucf,299
fcfb,16755
buuf,20364
uuff,2158
uffc,2839
ffcc,3214
ufcc,16109
bbuu,5262
fuck,1026
uckc,1034
ccbf,4744
cbfu,9890
ufub,10860
bucc,2891
uccb,3567
buck,639
ucku,590
bfbu,2850
fbuc,4133
cuuf,5485
cufu,1649
ufuf,8671
bbbc,3336
bbcb,5019
uucb,11786
bcbf,6015
bfuf,6509
bffb,837
bccc,4137
ubck,496
cubu,4434
fbbc,1832
bcuu,6383
fcff,7176
uuuf,7279
uufb,5647
bbcf,7074
fbbf,1416
fbfb,3355
bfbb,798
uuck,86
ckuu,555
kuuf,303
ucfb,3643
cfbu,9003
fbuf,2783
ufbu,3718
ubbu,2645
cccf,4083
fubf,3775
bfcu,2385
cuuc,2472
cucb,3802
fbub,3679
cfff,1127
fffu,961
fuff,2484
fckc,1373
ckcb,1321
kcbu,414
bfck,699
kcfu,714
bbff,1701
bffu,3180
cubb,1211
uuuc,2082
fbuu,6248
ffuf,2036
ffbu,1265
cubf,734
fbcu,1307
ffbf,926
ffuc,2851
kuuc,62
cuuu,320
uuuu,726
fcck,593
cckc,596
uckb,96
ckbc,251
kbcf,109
kcbc,812
bbck,317
bcku,813
ckub,917
kubf,1
ffck,184
ubfb,1259
cckb,44
bucu,97
ucuu,71
fffc,633
ffcu,311
fffb,233
ufff,394
fccu,1089
ccuu,1357
ufck,527
ubff,310
cbff,1294
bcck,399
ccku,321
ckuf,618
kufu,63
kubu,349
kubc,536
uffb,714
kcfb,127
fckb,187
ckbu,98
kbub,16
cckf,41
ckfu,99
kfuu,17
ffff,88
cuff,295
ckbb,27
kbbu,15
bfff,306
bccu,482
fucu,138
ucuc,91
kucb,273
ckfc,62
kfcc,42
kufc,468
ckcc,397
kccb,257
cccc,253
ucub,34
ucck,5
kccf,137
kuub,188
fbck,266
kbcc,108
kfuf,5
uucc,376
cucc,64
bckb,111
kbuc,36
uccc,131
kbuu,44
ccuc,146
kcbb,82
ccuf,33
kufb,80
fckf,66
ckfb,57
kfbu,7
kcbf,13
ckbf,62
kbfc,53
ucuf,55
bckf,73
kfub,74
ccub,40
kbcb,33
kuuu,2
kubb,31
uckf,44
kfbc,29
ckff,6
kffc,2
kbbc,12
cucu,7
uucu,9
kuff,7
cuck,13
kbfb,2
ffbb,228
kcff,3
ccck,5
kfcf,5
kfbf,18
kfcb,12
kfbb,3
cccu,4
kfcu,3
kbfu,7
kfuc,3
kccc,3
kffb,1
uccu,1
kbcu,1
kffu,3
kbuf,2
