r-gram,Counts
ia,59687
ai,82810
ad,65568
dg,102808
ga,129548
aa,9474
id,53919
da,56540
ae,9216
ei,37921
if,38120
fg,86817
gb,87493
bi,71438
ib,72418
bc,11339
cg,107757
ig,63340
ge,60597
eg,81532
gc,112965
cf,6468
fi,41585
ih,10764
he,11854
fh,21232
hb,13575
bg,67633
gd,98913
bf,18449
di,33809
hg,17322
ah,24177
ag,72000
ch,29777
hc,25658
bb,8691
eb,7884
bh,18469
ci,49246
ic,44467
db,2008
ie,48208
eh,14618
hd,21157
be,5595
gf,46763
de,20914
af,29123
gi,59810
gg,30997
ac,3649
ee,2830
ha,26478
ii,67207
ca,8051
fe,3329
df,12408
ef,13002
cb,6977
cc,5589
hh,1852
dd,5401
hf,5900
ce,2474
fd,5250
hi,14303
ec,7111
fa,6361
cd,5679
dc,8166
dh,14090
fb,2584
ab,514
gh,3120
ff,688
bd,208
fc,3075
ba,322
ea,70
ed,49
