r-gram,Counts
fcm,93834
cmc,353845
mcc,143556
ccm,143265
ccf,77744
cfc,217852
fcc,93644
ccc,54482
mcf,90892
mcm,118084
cmf,57824
mfc,30446
cfo,7042
foc,14347
ocm,69362
cco,79565
coc,203465
fof,2095
ofc,21912
fcf,62276
cof,31843
mco,69006
oco,39701
occ,63374
cff,37793
ffc,41236
fco,61692
ocf,52298
ofm,6548
fmc,45193
fff,8248
cfm,20523
cmo,3773
moc,3929
mfm,14526
coo,3236
ooc,2994
cmm,9103
mmc,10758
mff,15524
com,11420
omc,11742
off,4371
ffm,11890
mfo,4179
fmf,5819
mom,434
fmm,1580
fmo,895
foo,285
ffo,4562
omf,797
fom,791
ooo,56
ofo,1735
mof,364
mmf,235
oom,321
moo,58
oof,264
omo,90
omm,337
mmo,27
mmm,127
