r-gram,Counts
fum,35743
umu,46020
muu,59785
uum,52940
uuf,37559
ufu,33248
fuu,38197
uuc,13190
ucm,44865
cmc,142543
mcf,72589
cfc,71608
fcm,58091
mcc,47968
ccm,40236
mcm,83320
cmf,32033
mfc,16630
ccf,19538
cfo,5258
foc,6813
ocm,40260
cco,34236
coc,82210
cmu,85441
mum,34764
umc,79841
cfu,67205
ufo,1784
fof,2095
ofu,8242
fuf,24214
uuo,24488
uof,7520
ofc,13670
muo,16875
uoc,37717
oco,29485
occ,19761
fcf,38062
fuc,25178
cff,23748
ffc,23654
fco,44930
cou,62490
oum,29102
mco,52131
ocf,35382
muc,25893
ufc,45791
ccc,9521
cof,24323
ofm,6548
fmc,30401
ouu,21247
mfu,13816
uco,17234
ouo,10216
umf,25791
fff,8248
ffu,17582
ocu,5859
cuc,5230
ucc,3983
cfm,15418
fuo,16762
uou,21048
umo,1403
mou,1624
ouc,16507
mfm,14526
fmu,14792
muf,18303
coo,2530
ooc,1702
cmm,4385
mmu,4195
ouf,16916
fcc,24852
mff,15524
ccu,2554
cuu,8948
com,6463
omc,6570
off,4371
uff,14045
cuf,2981
ucf,17666
cum,5224
fcu,5417
uom,4957
omu,5172
mcu,9910
ufm,5105
uuu,8806
umm,4718
mmc,6563
ffm,11890
mfo,4179
fou,7534
fmf,5819
cuo,3607
mom,434
fmm,1580
uoo,706
moc,2305
fmo,895
cmo,2370
foo,285
ffo,4562
omf,797
fom,791
ooo,56
ofo,1735
oou,1292
mof,364
ucu,2250
mmf,235
oom,321
moo,58
oof,264
omo,90
omm,337
mmo,27
mmm,127
