r-gram,Counts
ubc,95869
bcb,37182
cbf,21778
bfu,23153
fuc,13171
ucb,9871
cbu,60291
bub,44110
bcf,63616
cfc,97172
fck,26924
ckc,30129
kcf,19994
fcf,78538
cfb,19976
fbf,15374
ucf,19598
fcu,48854
cuf,44218
ufu,65457
fuf,77707
ufc,87722
cfu,89511
ufb,16070
fbb,11071
bbf,7208
bfc,30988
fuu,9406
uuc,614
uck,4647
fcc,41364
ccf,55709
fuk,37759
ukc,59403
kcu,3691
cub,33781
ubf,25727
bfb,9202
fbc,11232
buf,45534
kcb,35509
cbc,73445
bcc,43395
ccc,2138
ccb,36628
bck,10410
cku,44007
kuf,14631
fub,65417
cbb,12657
bbc,12767
cck,10539
kub,38202
ubu,63058
buu,22238
uub,14165
fbu,11983
cff,30796
ffc,30349
fcb,50831
uuf,12907
kck,21816
bcu,38797
uku,25779
buc,22678
uff,25748
ffu,25242
bbu,11906
bff,6744
ffb,7741
buk,12734
ubb,9809
kuk,14759
fbk,3353
bku,3543
cuk,13456
kuu,2392
uuk,6855
ucc,6483
cuc,811
kcc,13043
fff,3961
ubk,1213
bkc,4521
bbb,4031
ccu,1409
cbk,1850
bbk,1656
uuu,791
ukf,292
kfc,280
kuc,3345
ukb,89
kbu,56
cuu,505
kff,44
ckb,55
kbc,88
kfu,97
kfb,24
ucu,20
ckf,145
bkf,8
