r-gram,Counts
ufc,36943
fcf,13428
cfo,25406
fou,19451
ouc,9486
ucf,7486
cfu,43550
fum,53141
umc,158369
mco,42142
coc,55492
ocm,40653
cmc,108874
mcf,54438
cfc,36380
fco,20867
cof,19837
ofo,9156
uco,6944
ocu,35411
cum,46545
umu,89737
mum,114555
cou,32930
ouo,23974
uof,12763
ofm,8263
fmf,2293
mfc,5499
ouu,5089
uuc,614
ucm,19686
fcc,12693
ccm,50667
cmu,117329
mcu,42735
cuf,29393
off,2501
ffm,7539
fmc,19819
uff,7615
fff,746
ffc,2392
fcm,36664
muf,30170
ufu,33478
mcm,93548
mcc,59498
ccc,2138
muo,32663
uou,31079
oum,35424
cmf,7744
muu,25977
uuf,6996
ufo,23638
foc,33245
umo,8679
mof,4988
ofu,13516
fuo,16761
uoc,47682
ocf,27894
uum,20248
umf,12277
mfu,7756
fuf,23708
ccf,23810
muc,20637
ufm,9051
fmu,14769
cuo,15517
fof,9189
ofc,15634
cfm,11744
mou,8439
ouf,20457
mfm,4380
ffo,3920
fcu,13196
coo,2845
ooc,1828
cmo,6737
occ,25611
cff,9976
ffu,7351
fmo,3988
moc,6508
oco,15186
fuu,2970
cco,28399
fuc,9071
ucc,6483
cuc,811
mfo,4014
com,2434
omu,1509
uuo,6683
oof,2293
ccu,1409
foo,2565
oou,2531
uoo,1296
omc,4572
oom,185
uuu,791
mff,1110
fom,1684
omo,637
umm,851
mmu,658
uom,2778
cuu,505
cmm,534
mmo,97
moo,131
omf,376
mmc,728
mom,72
mmf,69
fmm,108
omm,59
ucu,20
ooo,7
mmm,47
