r-gram,Counts
ckc,283758
kck,160706
kcc,88782
ccf,82976
cfc,274101
fcc,58348
fcf,153953
cfb,105083
fbf,53679
bfb,30639
fbk,61753
bkc,136475
kcb,70651
cbk,36166
cfk,4592
fkc,4955
ccb,24496
cbc,113119
bcb,54024
cbb,38762
bbk,23271
fbb,19152
bbc,45258
bcf,42058
fck,118096
bbb,27143
kcf,112259
fcb,59465
ckk,6857
kkc,7210
cck,71224
bkb,39422
kbk,63534
kbf,37141
cff,7470
ffc,9468
ckb,99353
bbf,13755
bfc,89755
ckf,14264
kfb,4688
kfc,16539
bkf,7186
kbc,15853
bck,54205
cbf,20589
kff,143
fkb,835
bff,3684
ffb,1797
bcc,31566
kbb,24370
kkb,1288
bfk,1086
ccc,3258
fbc,7623
fff,44
bkk,1641
kfk,80
ffk,32
