r-gram,Counts
uku,54606
kuk,79486
ukc,76042
kcc,35969
ccf,37327
cfc,91180
fcc,24770
cfu,68384
fuf,70872
ufc,64406
fcf,83081
cfb,55102
fbf,53679
bfb,30639
fbk,61753
bkc,80085
kcb,42041
cbk,16332
bku,56390
kcu,25445
cuf,19661
ufk,1485
fku,2904
kuu,14729
uub,5999
ubc,27016
bcb,21983
cbb,22237
bbk,23271
kuc,12639
ucf,11562
fbb,19152
bbu,16392
buf,15449
ufu,50131
fuk,57580
kub,28610
bbb,27143
kcf,63959
fcb,29308
fub,30157
ubu,23439
cbc,39138
bcf,26609
kuf,48300
ukk,3029
kkc,3247
cck,29909
cku,65901
ufb,49981
bkb,39422
kbk,63534
kbf,37141
cff,4765
ffu,6085
fuc,7231
uck,7254
ckb,47601
ckc,87209
kck,81220
ubb,16525
bbf,13755
bfu,43254
bfc,46501
fcu,13309
uff,2705
ffc,3383
ukf,7163
kfb,4688
kfc,5515
bkf,7186
kbc,6729
cbu,23526
bub,32041
fkc,2051
cub,4234
buk,21464
fck,60516
ckk,3828
ukb,51752
ubf,14227
bck,32741
kff,143
ubk,19834
fkb,835
bff,3684
ffb,1797
cbf,6362
cfk,3107
bcc,16591
cuk,21544
kku,3963
kfu,11024
fuu,13038
uuf,14426
bbc,28866
kbu,9124
ckf,7101
kbb,24370
buu,4997
uuk,12517
kkb,1288
bfk,1086
ccb,10251
ucc,159
fbc,3359
bcu,7184
fbu,4264
fff,44
ucb,4012
buc,2794
bkk,1641
ccc,1158
cuu,485
uuu,1131
uuc,307
kfk,80
ffk,32
ccu,2
cuc,16
