r-gram,Counts
cg,146506
ga,159388
ai,103482
ia,73373
ad,53469
dg,97545
gg,87035
aa,36887
id,74018
da,67752
ae,10775
ei,40724
if,47739
fg,146860
gf,99167
fb,4312
bi,56670
ii,69979
dc,13791
gb,87249
bg,82565
gd,138979
ge,79403
eg,112527
gc,130852
cb,4743
bc,9135
ag,105341
ac,8465
af,46972
ig,59847
ie,63600
eb,12089
gi,56153
ee,5310
ec,9122
fc,10319
be,8434
ib,60691
df,24194
di,70405
de,15715
fi,54391
fd,12529
bf,13939
bb,3635
ci,47612
ic,50169
fe,6078
dd,16738
cc,9724
cd,9309
cf,4435
ea,3560
ce,5724
fa,12482
ef,10525
ca,13524
db,377
bd,293
ab,1587
ff,1249
ed,1182
ba,12
