r-gram,Counts
coc,206444
ocm,80894
cmc,408889
mcc,170021
ccf,105396
cfo,36742
foc,43786
occ,88571
cfc,248047
fcc,116122
ccc,93672
ccm,177849
mcf,112787
cfm,39184
fmc,55091
mcm,136304
foo,2056
ooc,10707
mco,61509
cco,91469
coo,10020
ocf,62075
oco,41101
cmf,55978
mfo,8497
fco,45977
com,6984
omc,9307
fcf,60731
cff,17016
fff,2346
ffc,18897
cmo,11993
moc,11704
fcm,88535
mfm,12944
cmm,6722
mmc,7335
fmm,820
fom,1369
cof,16609
ofm,5229
ofc,11200
off,3460
mfc,33221
ffo,2881
fmf,6337
fof,3308
oom,522
fmo,1684
ofo,2399
mof,1399
mff,7877
ffm,6575
mmf,156
oof,972
moo,125
mmm,6
mom,508
ooo,163
omf,68
mmo,57
omm,6
omo,2
