r-gram,Counts
cou,53810
oum,32232
umu,66633
muu,67290
uuf,35936
ufo,10879
fou,24222
ouu,29041
ufu,30867
fuu,45519
uuc,25902
ucm,52229
cmc,142866
mcf,91902
cfc,94344
fcc,27443
ccf,31624
cfm,29259
fmu,28148
muc,31310
mcm,84324
cmu,86431
muf,20885
foo,2056
ooc,6371
ocm,48662
mco,45363
coc,85561
mcc,49952
ccm,41067
occ,25784
cco,32372
coo,6187
oou,4336
ouf,13876
uuo,23427
uoo,3833
ouc,22460
uco,29466
oco,27632
ucf,31166
muo,16146
uou,24046
uum,69023
umf,15409
mfo,8497
foc,19564
ocf,48199
cfu,83437
fuo,18261
uom,1513
omc,6695
fcf,42002
cff,11990
fff,2346
ffu,9213
ufc,39399
ccc,9852
ouo,13469
uoc,43027
cfo,25863
mum,51980
umc,112959
ufm,9925
cmo,6850
moc,7040
fcm,54130
mcu,21469
cuc,12049
cmf,40569
mfm,12944
fmc,26943
fcu,13005
cmm,3696
mmu,3787
ocu,11286
fco,27716
ucc,5742
fmm,820
mmc,3548
fom,1369
fum,34405
uuu,20558
fuf,18729
cof,11521
ofm,5229
umo,5143
uof,5088
ofu,5431
cuf,6670
fuc,30155
off,3460
mfu,18121
cuu,12438
ffo,2881
ofc,5769
cum,15530
ccu,3858
mfc,15100
fmf,6337
uff,5026
com,5471
cuo,6204
mou,4664
fof,3308
omu,2612
oom,522
ucu,3273
fmo,1684
ofo,2399
mof,1399
mff,7877
ffm,6575
ffc,9684
mmf,156
oof,972
moo,125
umm,3026
mmm,6
mom,508
ooo,163
omf,68
mmo,57
omm,6
omo,2
