r-gram,Counts
fco,52411
coc,158299
occ,45365
ccm,154820
cmc,353247
mcc,159463
ccf,97558
cff,63623
ffm,20543
fmf,31604
mfc,53711
fcc,125625
cfo,15724
foc,27227
ocf,56118
ffc,71871
fcm,109688
mcm,129000
mco,66480
cof,56121
ofc,34926
cfm,61224
fof,8642
ofm,13408
fmc,100092
mcf,114110
cfc,206416
cco,78075
ccc,60278
oco,25853
fff,13611
ofo,3797
fcf,79201
cmf,94518
mff,22770
cmm,6581
mmc,8896
mfm,40093
mfo,10519
ocm,63081
off,12840
fmo,920
moc,3043
ffo,6819
com,6749
omc,6819
fmm,2652
mmf,334
fom,653
coo,1650
ooc,1848
cmo,2243
foo,337
omf,637
omo,1
mmm,10
oof,116
mof,92
oom,24
mom,32
moo,1
mmo,4
omm,1
