r-gram,Counts
bcf,90957
cfu,145425
fuu,68123
uuf,70751
ufu,73047
uub,38914
ubb,36979
bbf,53267
bfb,20642
fbu,35875
buu,50775
ubf,17604
bfc,91647
fcf,182839
cfb,80049
fbc,32064
bcb,47465
cbu,55181
buc,23620
ucf,65653
cfc,165009
fuf,91825
uff,10214
ffc,34750
fcc,64618
ccf,69106
ccb,30578
cbb,51075
cbf,48151
fbf,51855
fub,69256
ubu,42690
fcu,35094
cuc,7592
cff,20433
cuf,17298
ufc,106907
ccc,9699
cbc,59461
bcc,27624
bfu,49474
fuc,39278
bbc,32331
fcb,112141
ucb,20010
fbb,23014
ufb,42153
bbu,24899
cub,12306
buf,52427
bff,9151
uuk,2506
ukc,10911
kcf,2382
cuk,1095
kcb,4671
bbb,29745
ubc,50852
bub,27772
uuc,17150
cuu,10221
fuk,3677
kcu,7237
uuu,14890
bcu,6181
cck,952
ckc,8231
fck,3645
ubk,145
bkc,2776
cbk,997
kcc,7668
buk,4177
bbk,699
ffu,4200
fbk,887
ffb,848
uck,1284
bck,2644
ukb,541
kbk,117
bku,50
kuf,32
ckb,26
kbf,45
ucc,726
cku,239
kub,22
kuc,33
kbc,162
kuu,202
fff,32
kbb,128
kbu,126
bkb,11
bfk,8
fkc,41
ufk,12
bkk,1
kkc,1
cfk,21
bkf,7
kfc,24
kuk,9
ukf,3
kfu,13
ckf,30
uku,9
kck,1
kfb,3
