r-gram,Counts
iegad,391
egadg,505
gadga,2871
adgaa,151
dgaai,217
gaaii,561
aaiig,148
aiigi,763
iigid,554
igida,440
gidai,666
idaig,454
daigf,368
aigfg,528
igfgi,1321
gfgib,653
fgibi,828
gibia,367
ibiac,176
biacg,349
iacgb,353
acgbg,435
cgbgd,1264
gbgdg,3443
bgdgg,157
gdggc,888
dggce,202
ggceg,914
gcegc,420
cegcf,123
egcfi,842
gcfii,677
cfiig,124
fiigc,1391
iigce,378
igceg,725
gcfig,707
cfigi,131
figig,1615
igigb,893
gigbg,3630
igbgf,2607
gbgfg,4291
bgfga,2719
gfgai,3254
fgaid,735
gaida,2316
aidag,3608
idagg,496
daggc,977
aggca,917
ggcaf,1375
gcafg,3874
cafge,87
afgec,397
fgecg,1216
gecgg,135
ecggc,99
cggca,887
ggcag,1535
gcagc,600
cagcg,346
agcgi,1469
gcgig,2501
cgigb,814
bgfgc,995
gfgcg,3130
fgcgb,686
gcgbb,297
cgbbf,75
gbbfg,164
bbfge,54
bfgec,217
fgeci,269
gecic,7
ecicg,11
cicgc,341
icgcb,236
cgcbi,382
gcbie,89
cbieb,55
biebi,123
iebie,80
ebiei,103
bieig,881
ieigi,236
eigig,181
igiga,819
gigaf,1315
igafg,3077
gafgi,3873
afgig,6066
fgigi,1597
gigic,761
igicg,939
gicga,1837
icgai,1455
cgaii,2165
gaiib,725
aiibg,1138
iibgc,862
ibgcg,3039
bgcgg,273
gcggc,2740
cggcf,151
ggcfg,953
gcfga,2116
cfgad,1565
fgadg,7427
gadgb,1510
adgbi,908
dgbib,667
gbibb,104
bibbi,111
ibbib,223
bbibg,326
bibgd,1151
ibgdi,854
bgdig,300
gdiga,1294
digaf,354
igafi,613
gafib,479
afibg,718
fibgg,281
ibggc,1203
bggcb,613
ggcbg,1342
gcbgf,1438
cbgfg,778
bgfgi,2057
gfgig,2371
fgigd,1109
gigdi,1482
igdig,1788
bggci,703
ggcig,1649
gcigb,4043
cigbg,1921
igbgi,4566
gbgii,2776
bgiig,1267
giigb,613
iigbi,1452
igbia,557
gbiad,236
biadi,74
iadig,255
adiga,370
afibi,155
fibib,169
ibibg,1786
bibgi,1053
ibgig,2581
bgigb,1603
gigbi,2101
igbib,702
gbibf,510
bibfg,452
ibfgg,65
bfggc,224
fggcf,269
ggcfi,258
gcfia,190
cfiad,36
fiadg,1413
iadgi,2055
adgii,1151
dgiig,620
fibii,1011
ibiia,470
biiaa,61
iiaag,234
iaagc,188
aagcg,225
agcgg,635
cggcd,542
ggcdi,552
gcdig,290
cdiga,206
ibiig,3312
biigb,1399
gbiag,766
biagc,285
iagcg,1525
agcgc,1497
gcgci,3936
cgcii,1723
gciig,6091
ciigi,842
iigib,485
igibg,612
gibgc,639
bgcga,1567
gcgag,3558
cgagc,1439
gagci,2029
agcii,1079
ciigg,1118
iiggc,2718
iggcg,862
ggcgc,756
iigic,330
igici,306
gicia,327
iciad,659
ciadg,1398
iadgc,2534
adgcb,343
dgcbg,565
gcbgi,1297
cbgii,199
giigi,334
iigig,1268
gigad,2643
igadh,165
gadhf,220
adhfg,23
dhfgc,27
hfgcb,27
fgcbg,282
cbgfi,428
bgfii,1484
gfiig,3392
fiigi,642
iigii,1069
igiia,827
giiaf,814
iiafi,504
iafib,332
fibgc,822
ibgca,579
bgcah,22
gcahf,205
cahfi,105
ahfig,878
hfigg,102
figgc,869
iggcf,283
bibgf,552
ibgfg,3692
bgfgd,1344
gfgda,2031
fgdag,1822
gdage,503
dagei,137
ageig,111
geigc,201
eigcg,271
igcga,2116
gcgai,3314
bgcgb,1106
gcgbg,2884
cgbgb,642
gbgbi,1836
bgbif,259
gbifi,554
bifia,244
ifiad,574
iadgf,579
adgfi,818
dgfii,718
gfiii,592
fiiib,112
iiibg,866
iibga,866
ibgag,2468
bgagg,365
gaggc,2072
aggci,799
ggcic,398
gcicg,1480
icgcg,1417
cgcgf,746
gcgfg,2596
cgfgb,949
gfgbg,2784
fgbga,1534
gbgai,1544
bgaif,306
gaifg,2477
aifgi,2393
ifgib,612
ibiaf,465
biafg,710
iafgd,1643
afgda,1725
geigg,14
eiggc,207
dgiib,419
giibg,1213
bgagd,761
gagdi,2267
