r-gram,Counts
mcm,193239
cmc,491577
mcc,261313
ccc,37350
ccf,83829
cfc,151551
fcc,49198
fcf,35325
cfm,71389
fmc,71351
ccm,223575
cmm,43119
mmc,43073
mcf,81875
fco,40789
coc,254583
ocf,58818
cco,97996
cof,13976
ofc,14155
com,17068
omc,20558
oco,65930
fcm,71333
cfo,30697
foo,1416
ooc,10637
foc,29083
occ,94889
mco,90132
cmo,32557
moc,31661
ocm,106327
cmf,27221
mfm,1987
fof,1926
ofo,1146
mfc,24955
fom,2262
off,1624
ffo,1329
fmo,2448
ofm,1343
cff,6210
fff,1440
fmf,1591
ffm,2293
coo,9220
ffc,5984
fmm,1622
mmm,370
mfo,1515
mof,1972
oof,394
mom,1488
mmf,1095
mff,1772
mmo,644
moo,771
oom,376
omf,322
omo,243
ooo,221
omm,71
