r-gram,Counts
fcf,215732
cfc,210683
fcu,85135
cuc,10279
ucf,60157
cuf,64767
ufu,81389
fub,88547
ubb,11720
bbu,10407
buc,30658
cfb,10605
fbc,17083
bcb,35149
cbb,15632
ucb,25291
cbu,88132
buu,29803
uub,34302
ubf,51820
bfc,71192
fcb,114440
buf,58854
ufc,163566
cfu,157708
fcc,93290
ccf,90653
cff,65383
ffc,63155
ffu,41651
fuu,60542
uuf,47157
fuf,121956
cbc,62617
bcc,34437
uff,34115
fff,9435
cbf,48518
ubc,88449
fuc,37655
bff,7491
bcf,77837
bfu,27952
cub,43054
bcu,33880
ufb,13664
fbb,2224
bbf,6015
bfb,1408
bbc,13154
ccb,40019
ucc,2953
uuc,9810
fbf,1690
bub,31253
ubu,45167
bbb,3235
ccc,12051
ffb,2183
fbu,6863
uuu,1324
cuu,924
ccu,8
ucu,1
