r-gram,Counts
bgb,11575
gbf,6357
bfh,1806
fhg,1770
hgd,1325
gdb,1558
dbh,1281
bhb,10499
hbh,3022
bhf,17245
hfe,2226
feg,4111
egg,1291
gga,3701
gai,10763
aic,12731
icd,13407
cda,8842
daf,4971
afh,2780
fha,7852
haa,3560
aah,2928
ahb,2145
hbg,7892
bgc,30029
gcg,34768
cga,12798
gad,15298
adi,11746
dif,15446
ifb,9364
fbg,16985
gcd,34322
cdh,1628
dha,3423
hai,6152
aid,4428
idg,9943
dgg,1404
ggg,422
ggd,3152
gdd,5805
dda,1614
dag,22117
agc,14645
gcb,25153
cbg,13889
bgf,17059
gfb,23168
fbd,1641
bdd,1440
ddf,811
dfg,11567
fgd,18391
gda,19037
dai,13184
idd,1592
aib,7866
ibi,7351
bih,1454
ihf,3771
hfi,8696
fia,14269
iai,9055
aih,1263
fid,3309
ddd,310
ddh,3252
dhd,5514
hdh,1944
dhc,4487
hcb,9515
cbf,5939
bfg,18293
fga,22717
gaf,5853
afg,16001
gag,25525
cgi,8738
gia,8845
iah,4165
ahd,6156
hdg,12232
dgc,40934
cdg,25893
dga,14907
add,1512
gcc,7703
ccg,9525
cgf,18575
gfi,15976
fii,4898
iic,968
icg,15203
gfd,24967
fdg,21122
gdg,26394
dgf,46598
gfa,12645
fag,6682
agd,10726
hah,2079
gca,12525
cag,8924
adb,512
dbg,2209
fhb,2237
hbi,3774
bia,9703
iag,14682
agb,12668
gbi,9499
bid,3841
idh,4522
hdi,7668
dia,5002
aga,9792
gdc,1161
dcg,3610
cgb,16881
gbd,8718
bda,3161
had,6132
adc,475
hab,2131
abg,12499
fgb,23174
cdf,3510
fgh,1886
gha,1898
aif,9602
ifa,6546
fah,4077
cai,5477
ibg,18371
fbe,94
beh,28
ehf,5355
hfd,12662
fdd,1514
ddi,4406
dic,27909
ica,4872
cae,522
aei,3841
eic,439
ici,13949
cif,2786
ifd,4716
fde,242
deg,2219
egb,7529
gbg,30742
bgd,13239
ddg,10789
dgb,14187
gbh,25368
bhi,3745
hig,2048
igc,5380
gch,12765
chf,5755
fdh,3465
hcd,15031
aia,10051
hbd,2788
bdg,8802
aii,3964
iif,3833
fbi,5856
fbh,10793
bhc,9655
hce,1272
cei,2885
eif,11463
ifg,15515
hia,3635
iaa,4539
aai,4701
cia,15472
iac,4268
acg,9588
ahf,12943
fei,2354
fge,10171
geh,6505
fih,2565
iha,2011
aha,7122
iab,10496
abh,3394
cbh,13179
bhd,13899
hde,585
ege,713
geg,12878
bhg,3319
hge,470
