r-gram,Counts
cfc,543904
fcc,280493
cck,76725
ckf,8743
kfc,8501
ckc,192373
kck,16022
kcc,105808
ccf,309055
cff,20274
ffc,20090
fcb,65785
cbc,240872
bcc,136253
ccc,104017
kcf,53716
fcf,164673
ccb,136774
kcb,36188
bcf,78361
fff,422
bcb,45096
cbk,7482
bkc,11815
cfb,35762
fbc,22040
bck,28420
cbb,15933
bbc,19988
cfk,5865
fkc,5976
fck,89990
ckb,8499
kbf,2048
bfc,28446
kbc,5230
kbk,304
cbf,19556
fbb,4956
kbb,1209
bbb,1382
fbk,4072
bfb,800
fbf,6763
bbk,658
bbf,1452
bfk,74
kfk,11
bff,499
ckk,1542
kkc,1570
kff,252
kfb,385
bkb,275
ffb,884
bkf,398
ffk,51
fkb,17
fkf,7
bkk,28
fkk,1
kkf,1
