r-gram,Counts
cfc,298916
fcf,169196
fcu,57962
cuf,49654
ufc,149593
fcb,107119
cbu,58069
bub,19068
ubc,110544
bcb,60473
cbb,12799
bbu,5489
buc,9263
ucb,16031
cbc,156073
bcc,61898
ccf,148672
fcc,159414
ccb,62307
buf,56792
cub,50997
bcf,146984
cfu,140395
fuf,79312
ufu,58787
ccc,30202
fub,71389
cck,5439
ckf,1755
kfc,1636
fck,7818
cku,5257
kuf,3525
kfb,168
fbc,26277
buu,22578
uuc,13568
uck,919
kuc,1491
cbf,23419
bfc,26588
bfu,18733
bck,3458
fuu,48595
ucf,37774
ckc,7075
kcc,3573
bcu,38344
cuc,1007
kcf,6782
cff,34670
ffc,24777
uuu,8700
uuf,42810
cfb,30754
fbb,11508
bbc,17023
fuc,34527
ucc,3242
uub,24235
bbb,4462
fbu,6009
ubu,38618
ucu,1890
ckb,3720
kbb,429
ufb,12195
fbf,5734
ccu,11709
bff,2136
kcu,1184
ffb,2656
ffu,18838
kcb,5248
ubf,12363
kfu,958
ubb,5921
uff,9688
cuu,7401
buk,1015
ukc,3913
fuk,3888
uuk,1026
bfb,3942
kbc,1240
fff,1261
cfk,4674
fkc,5023
bbf,8092
cuk,2030
bfk,461
kuu,3065
fku,1547
kuk,85
uku,3048
kub,1900
cbk,818
bkc,941
ffk,407
kbf,2252
ukf,747
ufk,1830
kbu,531
bkf,31
bku,213
kck,174
fbk,187
fkf,463
kff,184
fkb,383
kfk,50
bbk,53
ubk,143
bkb,20
ukb,333
ukk,3
kkc,9
ckk,1
kbk,4
fkk,6
kku,1
