r-gram,Counts
coc,207692
ocf,45796
cfc,99323
fcu,22726
cuf,33677
ufc,107377
fcm,62174
cmu,63829
muf,42548
cmm,6173
mmu,1874
muc,9588
ucm,17669
cmc,155049
mcc,45061
cco,109225
oco,54511
fcc,54008
ccm,66518
muo,28600
uoc,99021
ocu,41588
cum,39307
umc,57652
mco,77596
cou,81452
ouf,22641
ufu,35190
fuo,28438
occ,125816
ccc,30202
ccf,40675
fco,67249
oum,22076
mcf,52442
cfu,58440
fuf,37118
cmf,27183
mfc,15331
cuo,29697
ocm,65971
mfm,5176
fmc,25170
fuu,21885
uuc,13568
fcf,36552
mfu,12133
mcm,44961
ouu,34114
uco,24574
cmo,5059
moc,6354
cuc,1007
ucf,12481
cfo,5512
foc,13095
uuu,8700
uuo,25765
cff,13817
ffm,8832
cfm,10854
com,11016
omc,9268
ouc,23803
ucc,3242
uuf,23983
fff,1024
ffc,5904
uum,18323
fmu,7071
fou,9126
mcu,33176
ucu,1890
mum,14737
umu,39084
fuc,11890
mmc,6097
fum,19869
umf,13458
mff,1782
cof,21285
off,2598
ufm,7636
ccu,11709
mfo,9541
fof,2188
ofc,14775
muu,18239
ouo,20947
uou,26179
coo,11711
oou,5573
uof,6172
uff,5732
cuu,7401
ofu,8131
ooc,7520
omu,1854
umo,2152
ofm,2871
ffo,3887
ufo,4032
ofo,1606
uoo,1441
fmf,1986
fmo,379
ffu,5306
mou,1251
fom,98
omm,130
fmm,763
umm,1966
oof,132
mmo,41
uom,634
omf,316
mmf,1020
omo,191
foo,71
mmm,39
mof,204
mom,10
moo,3
oom,1
