r-gram,Counts
ocf,15451
cff,19046
fff,26818
ffc,26747
fcm,36788
cmc,97994
mcm,32240
mcc,38936
cco,13799
coc,37802
ocm,23872
cmu,21796
muu,28371
uuo,10468
uof,7469
off,18793
fcc,30420
ccf,23791
cfc,62231
fcf,27633
ffo,8121
fof,6965
fcu,13220
cuf,8924
uff,9344
ffu,9747
fuu,42398
uuf,38547
ufu,12155
uoc,8267
occ,10850
foc,13975
mcf,43773
cfm,1914
fmf,3873
mff,14251
cof,33392
ccm,42618
fco,23985
cfo,5702
ofm,5191
fmu,8501
ufc,30409
cmo,2743
moc,3179
ccc,2090
mco,29192
cou,5271
ouo,499
ofc,9660
cfu,23423
uum,30362
umc,40094
oco,9017
fmc,18298
ffm,16819
cmf,13928
ouu,5810
fou,1776
fmo,1154
mof,336
fuc,1936
ucf,1668
fuo,1404
mcu,12385
cuo,3073
cum,14851
ofo,3311
umf,8809
muf,4156
cuu,2813
umu,12404
ufm,2233
ouf,710
muo,1368
fum,7479
ofu,11232
uuu,35
ucm,1467
mum,7444
fuf,4058
muc,1412
ocu,4211
mou,678
mfc,2999
mfu,718
mfm,5776
uco,661
oum,1525
ufo,2254
mfo,3405
uou,1049
coo,157
oou,50
ooc,177
uoo,26
oof,25
ouc,280
cmm,524
mmc,111
mmf,528
mmu,49
fmm,106
umo,296
cuc,155
foo,69
umm,58
ucc,2
ooo,1
com,32
omc,29
fom,8
uom,1
omf,11
uuc,15
omu,1
