r-gram,Counts
off,7426
ffo,10516
foc,40160
occ,186844
ccf,141925
cfc,343636
fcf,89622
cfm,12881
fmc,18053
mcm,53429
cmo,5715
moc,5073
ocm,51925
cmc,239235
mcf,40144
fco,102740
coc,429033
ccm,94487
mcc,115664
fcc,161151
cco,227247
oco,108501
fcm,60931
mco,55621
ocf,137134
cof,49153
ofc,35401
cff,31277
cmm,3192
mmc,3239
cfo,21031
ffc,27807
com,4398
omc,4331
cmf,12630
mfo,3293
mfc,7601
ofo,9336
ccc,2491
coo,11525
ooc,10138
fof,3317
oom,61
mff,1285
oof,1853
ffm,1665
ofm,3009
moo,26
fff,2348
mof,848
omo,11
mfm,1044
fmf,237
omf,276
fmm,59
foo,501
fom,198
omm,75
mmf,80
fmo,250
mmm,20
mmo,7
mom,36
ooo,32
