r-gram,Counts
fcf,322580
cfb,78268
fbf,85635
bfc,104216
fcc,44646
ccb,19764
cbc,147133
bcf,136250
fbb,34994
bbc,31379
bcb,76649
cbf,33214
bfu,50819
fuf,138813
ufu,68383
ufc,166243
fcb,182985
cfc,292643
cbu,74191
buc,6656
ucb,5709
fcu,36420
cuf,28447
cfu,138737
bub,32134
ubc,69362
cbb,30569
bcc,34305
ccf,59187
buf,68469
uff,8029
ffc,23529
cff,28118
ffu,11119
fuc,17300
ucf,19749
bbf,43404
fuu,44813
uub,17309
ubu,32032
fub,68132
bbu,9684
uuf,36567
fbu,1567
ufb,29641
bfb,12031
ubf,9267
bcu,4367
ffb,5953
fbc,3697
buu,10215
cub,11990
bff,4454
ubb,18904
bbb,9376
uuc,1245
ccc,2334
fff,770
cuc,257
uuu,3
cuu,93
