r-gram,Counts
ocf,195169
cff,62930
ffo,37558
foc,77517
occ,30235
ccf,33572
cfc,200984
fcm,31581
cmf,9907
mff,12930
ffc,43271
fcf,123892
cfo,32355
fou,33147
ouo,51372
uou,34176
uoc,107065
fco,136216
coc,196763
cfu,114006
fuc,12816
ucf,7472
fcu,23825
cum,4161
umc,37333
mcf,54661
cou,80056
oco,116863
fuf,51739
ufc,91207
fcc,35694
ccm,3893
cmc,42029
ufu,44286
fuo,57439
ouf,47582
ufo,9656
uof,13795
ofc,14907
fff,34732
ouc,9252
uco,16415
coo,6236
ooc,4487
cco,41486
ffm,17047
fmc,19673
cof,51307
ofm,11877
ocu,14619
cuf,22823
ouu,28217
uuf,31360
fum,42858
oum,14728
ffu,16912
umu,21953
muu,12716
uum,3776
uuo,18740
ofo,31965
com,901
omu,555
muo,16026
ocm,30269
cmu,18866
off,17851
fof,12953
muf,13688
uff,21077
oou,3057
mcc,13022
cuo,13453
mco,24283
fuu,14095
muc,1888
cfm,4491
fmu,14540
mum,12116
mfo,13011
oof,1318
umf,17380
uuc,1245
mcm,5530
cmo,1491
moc,1322
uoo,1778
umo,807
mof,421
ccc,2334
omc,622
cmm,551
mmu,520
mfc,839
ufm,966
ucm,1571
ofu,3194
mcu,2343
mou,715
mfm,1888
foo,844
fmo,155
fmf,1895
umm,166
mmo,4
uom,216
fom,84
oom,2
mmc,183
mfu,549
cuc,257
ooo,25
moo,6
uuu,3
omf,18
cuu,93
omo,7
mmf,17
omm,1
mmm,2
fmm,6
