r-gram,Counts
gbgi,14078
bgig,15861
gigc,20951
igcb,3485
gcbi,6127
cbib,1207
bibg,5837
ibgi,7360
bgii,7436
giib,7196
iibi,2586
ibib,2204
bibi,2073
ibic,4412
bici,5907
icig,5216
ciga,5378
igag,15293
gagd,5227
agdg,8253
gdgc,16469
dgci,8420
gcif,17247
cifg,11868
ifgc,10903
fgci,23047
gcid,4946
cidf,139
idfi,146
dfib,591
fibg,9445
ibgc,12361
bgca,3884
gcag,18785
cagc,6836
agci,15665
gcib,12073
cibi,3370
bicg,9158
icgc,15173
cgcg,28196
gcgf,10069
cgfg,9831
gfga,18939
fgag,17255
gagf,21041
agfg,25546
gfgc,31078
cibg,13655
bgci,15975
cidi,1674
idic,403
dici,434
cigc,4018
igci,12110
gcii,8728
ciic,483
iicb,2666
icbg,10444
cbgc,6082
gcia,20415
ciag,19911
iaga,13864
agag,21844
gaga,22073
gagg,4164
aggb,1061
ggbg,3148
gbgb,11769
bgbg,13479
gbgf,11051
bgfg,16553
iagg,1107
aggc,1621
ggcg,11957
gcga,33139
cgag,27485
gagc,29122
agcc,1386
gccg,3724
ccgi,2350
cgii,8753
giic,11725
iicg,5842
icgg,2207
cgga,2414
ggac,256
gacg,706
acgb,36
cgbg,23655
ifga,8206
gcgg,10557
cggf,754
ggff,102
gffg,4063
ffgb,569
fgbi,8613
gbia,9079
biai,4399
iaic,15745
aicb,4796
ibii,1825
biig,5142
iigf,11834
igfi,10834
gfib,8834
fibi,3810
ibia,2928
biag,7398
iagc,13020
ccgc,2928
agfi,9989
gfia,9041
fiag,9661
iagb,5953
agbg,17908
gigf,21844
iagf,11226
gfgb,11804
fgbg,10483
gbgc,27314
ciig,10158
cgca,3046
cagb,3767
gbgg,4937
bggc,3931
cgaa,3996
gaai,11034
aaib,4228
aibg,8153
iaia,4993
aiag,11555
icia,7607
agcg,35529
gcgi,20647
cgig,21412
icga,16693
cgai,16550
gaia,12855
fgcg,18550
giia,4904
iiag,4965
fgaf,1166
gafg,8603
afgg,86
fggc,1712
agaa,11718
gaag,20972
aagc,10202
gcig,12340
cigd,1347
igda,1848
gdag,4539
dagc,1553
gcic,25833
cici,10191
icii,4026
ciib,301
iibg,4507
ibgb,5830
bgia,371
giag,1089
bgcg,26935
gcgc,45841
cicg,19988
icgf,10478
gfgi,12408
fgii,5557
ibgf,6531
gcgb,20628
cgbi,6396
gbig,5048
bigc,2288
iagi,5942
agig,15283
gigd,8934
igdg,6826
gdgf,4143
dgfg,6090
bggb,1022
cigb,2833
igbg,16612
fgai,12182
gaic,14088
aici,9661
icib,6209
ibga,5910
bgag,13677
ibig,1700
bigi,836
igig,9632
iagd,4010
gdgi,3480
dgig,3566
ciaf,1986
iafg,5363
afgc,4061
fgcb,3317
gcbg,10268
cbgb,2133
iigd,6373
icgb,6036
gagb,11407
bgga,1862
ggaf,412
afga,4184
gaig,4837
aiga,1621
dgcg,8449
cbgi,2666
gigb,13903
biga,1447
cicc,1569
iccg,10539
ccgb,4190
cifi,7656
ifia,4790
agai,8343
gaif,6852
aifa,860
ifag,1584
fagb,545
bggf,584
ggfg,1551
bgbi,5255
gbic,7975
bigf,924
igfg,23075
gaib,5932
aibi,6358
cggc,5284
gfgf,4089
fgfg,4154
gfgd,4802
fgdg,4872
gdga,5913
dgag,2758
aggi,1076
ggig,4077
igcg,19066
gcgd,7801
cgdg,7319
cibf,958
ibfg,1402
bfgc,1519
bgbb,1154
gbbg,3185
bbgc,2283
giga,13285
igaa,8865
cgci,24928
fgaa,1928
aaia,4589
agaf,2091
gbga,13255
cgfi,10059
gfii,6281
fiig,7354
iiga,7011
ifib,3192
fgif,122
gifi,863
fiad,299
iadg,585
adgc,2204
agca,8231
gcai,9334
caib,1194
icif,1976
aicg,16294
cgaf,5471
gafi,3908
afig,419
figa,2033
cgcb,5184
biia,287
iiai,1622
iaif,2508
aifi,4051
giig,3362
iigi,2611
igdi,8833
gdia,804
diag,543
igad,965
gadg,3568
adgf,880
idia,192
caia,3675
ggii,1788
icbi,3836
bgaa,3325
aigi,481
gigg,2448
igga,719
ggag,5014
aifg,6528
ifgg,1307
fggi,935
igaf,1765
biaa,1960
iaag,5116
aagb,4876
agbi,7254
gbii,4539
ggfi,698
agbb,832
bbgb,506
cgad,180
adga,652
