r-gram,Counts
bg,185691
gd,85268
df,12010
fg,200481
gc,192334
cb,59733
bi,45671
ia,42078
ad,41018
da,15355
ag,108952
ga,129593
cf,28217
fi,68528
ib,25151
gg,39178
ge,45644
eg,65818
gi,92244
ig,83701
gf,213792
ai,49946
ii,57657
fb,42534
id,28933
dg,109059
ff,16713
aa,15341
ca,24291
af,22475
ic,96719
ci,60088
di,47324
if,83200
cg,118646
gb,113473
fd,15905
ie,17127
ea,2656
be,28491
fa,25821
ab,9160
cd,17684
ce,3410
cc,6399
ed,2200
ef,7102
ac,5887
fc,12211
dd,2670
eb,7969
fe,2221
ae,2503
ei,13108
db,3193
bf,905
ba,147
dc,3410
ee,667
ec,1292
de,749
bb,531
bc,217
bd,92
