r-gram,Counts
coc,272409
occ,133247
cco,136996
ccf,144629
cfc,372594
fcc,164845
ccc,28422
oco,66286
fcm,85752
cmm,7339
mmc,7301
mcm,52248
cmf,34420
mfm,6163
fmc,38836
mcf,95928
cff,50517
ffo,8143
foc,39414
ocf,95736
ffm,16728
mcc,114665
ccm,131132
cmc,247173
ffc,42111
cfo,20012
fcf,123614
fco,73753
mco,36130
fff,18053
mfc,16191
cof,31907
off,6342
ocm,31107
cmo,11307
moc,11174
mmf,574
mff,10123
cfm,16784
mof,609
ofc,17069
fmm,550
fmf,1766
mfo,4816
com,5423
omc,5661
ofo,10385
ofm,1944
coo,3427
ooc,3379
oof,388
fmo,467
mmo,30
fof,2836
foo,326
omf,533
mmm,30
fom,780
ooo,1
moo,14
mom,17
omo,10
omm,16
