r-gram,Counts
ccf,32695
cfc,70472
fco,12193
coc,36206
ocm,10323
cmc,79034
mcm,24310
mcf,25729
cff,16313
ffc,17213
fcf,24008
occ,17062
fcc,37542
cco,17269
ocf,13806
oco,5231
fcm,19882
coo,337
ooc,425
cmo,482
moc,614
ccm,34748
oof,28
ofc,2828
cfo,7019
foc,9177
mco,7823
ofo,381
mcc,30107
cfm,2434
fmc,6952
mof,38
off,1508
ofm,1592
ooo,7
ccc,18689
cmm,1243
mmc,1448
fom,109
omc,535
cmf,8504
mfo,1126
foo,125
mfc,3113
ffm,2564
mff,3520
ffo,1564
fff,3676
fmo,182
fof,679
cof,5564
mfm,1189
fmf,432
com,409
oom,10
fmm,213
mmf,8
mom,12
omf,4
omm,1
moo,1
mmo,1
mmm,1
