r-gram,Counts
ucf,8170
cfu,23444
fuo,4478
uoc,7737
ocm,5296
cmc,24944
mcm,13783
mcf,20639
cff,10392
ffu,8990
fuf,9200
ufu,10943
uou,3838
ouc,2454
fuu,17807
uuo,4900
ouf,4794
ufc,12886
fco,7715
coc,13158
oco,3594
ocf,9012
cfc,23199
fcm,11176
cmu,16251
mum,10527
umu,14000
muf,5090
coo,211
ooc,311
occ,6086
cco,8007
umo,244
moc,464
ocu,1419
cum,1664
umc,23839
fcf,14808
uoo,126
oou,114
ouo,1637
oof,28
ofu,1577
ouu,7103
uum,16258
cfo,3209
fou,5440
oum,5027
mco,5399
ofo,381
muu,11824
ffc,8223
cou,11473
cfm,1446
fmu,3822
mof,38
off,1508
muo,2424
muc,5257
ucm,6067
ofm,1592
mcu,2052
ooo,7
ccc,3010
fcc,10445
ccm,10759
cmm,796
mmc,645
foc,3737
mmu,803
ccf,9061
ufo,3810
fom,109
omc,289
umf,3652
mfo,1126
foo,125
mfu,1732
fum,8706
uuu,9374
ffm,2564
fmc,3130
cmf,4852
mff,3520
ffo,1564
cmo,238
fff,3676
fmo,182
mou,150
uff,5921
fof,679
uuf,13742
mcc,10974
cof,3404
ofc,1251
fuc,6495
uco,3779
fcu,2795
cuu,1616
mfm,1189
cuc,784
uuc,3450
uof,2160
ufm,988
cuf,1722
mfc,1381
ccu,30
cuo,583
fmf,432
ucc,352
umm,447
omu,246
uom,161
com,248
oom,10
fmm,213
mmf,8
ucu,73
mom,12
omf,4
omm,1
moo,1
mmo,1
mmm,1
