r-gram,Counts
acgdg,51
cgdgf,111
gdgfi,122
dgfib,105
gfibi,337
fibie,376
ibiei,175
bieib,34
ieibi,77
eibig,58
ibigd,139
bigdi,47
igdid,341
gdidg,449
didgd,231
idgdf,184
dgdfg,293
gdfgd,779
dfgda,774
fgdag,766
gdagd,546
dagdg,307
agdgc,365
gdgcg,526
dgcgb,156
gcgbg,315
cgbge,108
gbgeg,287
bgegb,122
gegbi,325
egbie,184
gbiei,180
bieid,110
ieidi,221
eidid,106
ididg,122
didgc,92
idgcg,442
dgcgg,70
gcgge,75
cggef,26
ggefg,69
gefgg,82
efggc,73
fggci,75
ggcie,31
gciei,121
cieid,74
eidig,158
idige,166
digef,31
igefg,144
fggca,9
ggcai,9
gcaif,83
caifi,30
aifib,155
ifibg,439
fibge,275
ibgeg,425
bgegd,131
gegdg,325
egdgg,33
gdgga,36
dggag,32
ggagg,3
gaggg,4
agggd,1
gggdg,7
ggdgg,6
dggaa,3
ggaai,2
gaaif,52
aaifi,26
ibgei,231
bgeig,164
geiga,165
eigai,173
igaie,287
gaieg,689
aiegg,54
ieggi,13
eggig,8
ggiga,70
gigai,432
igaid,432
gaida,414
aidai,217
idaif,231
daifi,271
bgeii,85
geiib,27
eiibi,9
iibia,23
ibiag,149
biagb,57
iagbf,22
agbfg,79
gbfga,254
bfgag,242
fgage,243
gagei,293
ageii,89
geiid,247
eiidi,254
iidig,292
idigi,71
digii,92
igiib,39
giibg,72
iibga,60
ibgai,246
bgaif,48
gaifi,227
fibgd,226
ibgdd,172
bgddg,177
gddgf,224
ddgfg,153
dgfgd,398
gfgdg,387
fgdga,123
gdgag,307
dgage,168
gageg,733
agegf,448
gegfi,289
egfie,178
gfieg,284
fiega,728
iegaa,221
egaag,277
gaagc,88
aagcg,51
agcgf,101
gcgfg,341
cgfgg,32
gfggd,62
fggdg,14
ggdgf,29
gdgfg,398
gfgda,554
fgdai,834
gdaif,274
geigd,239
eigdf,16
igdfi,116
gdfic,22
dficg,39
ficgg,10
icggi,7
cggig,30
ggigd,12
gigdf,70
dfica,2
ficai,13
icaif,16
bgegf,94
gegfg,774
egfgc,178
gfgcg,578
fgcgg,48
gcggg,7
cgggf,1
gggfg,1
ggfgc,4
gfgca,45
fgcai,33
bgegc,135
gegcg,432
egcgc,270
gcgcg,1148
cgcgb,315
bgegg,23
geggg,3
egggc,3
gggcc,2
ggccc,1
gcccg,1
cccgb,1
ccgbg,26
cgbgd,191
gbgda,237
bgdai,133
ibgec,102
bgecg,177
gecgd,394
ecgdi,184
cgdic,100
gdicg,140
dicgg,7
icggc,13
cggcg,83
ggcgd,68
gcgdi,600
gdica,23
dicai,22
icaid,18
caidi,30
aidib,188
idibg,286
dibgd,177
ddgfc,13
dgfci,21
gfcic,23
fcicg,16
cicgg,5
icggd,11
cggdg,17
gdgfc,39
fcica,2
cicai,11
ibgee,134
bgeei,44
geeii,275
eeiie,2
eiieg,13
iiege,48
iegeg,279
egegb,88
gegbf,196
egbfg,297
gbfgd,268
bfgdg,123
fgdge,158
gdgeg,215
dgegg,26
gegge,27
eggei,8
ggeii,2
eiida,8
iidai,75
bgeie,93
geieg,181
eiegb,8
iegbg,284
egbge,151
egbfi,68
gbfia,26
bfiag,26
fiagg,29
iaggi,7
aggie,8
ggieg,6
giega,97
egaai,474
eigdd,116
igddg,263
gddgi,241
ddgig,101
dgigg,48
giggi,21
iggig,34
gigdd,162
ddgia,39
dgiai,61
giaif,45
iaifi,148
ibgeb,71
bgebg,47
gebge,173
ebgeg,148
gegbg,348
egbga,121
gbgad,212
bgadg,489
gadgf,528
adgfi,152
dgfig,92
gfigg,33
figgb,8
iggbg,37
ggbge,32
bgega,187
gegaa,355
egaad,142
gaadg,173
aadgf,60
adgfa,54
dgfai,41
gfaif,17
faifi,11
bgddi,92
gddif,142
ddifi,160
dific,159
ifici,54
ficic,26
icicg,174
cicge,49
icgeg,295
cgegb,286
egbif,68
gbifg,237
bifgi,23
ifgig,63
fgige,87
gigei,118
igeii,52
geiig,84
eiigg,78
iiggd,110
iggdi,138
ggdif,20
gdifi,681
icica,10
ibgef,36
