r-gram,Counts
mcm,135736
cmc,344688
mcc,149741
ccm,141653
cmf,47678
mfo,2022
foc,30004
ocm,63670
cmm,12662
mmc,12222
mco,73530
cof,59685
ofo,7325
mfc,48019
fco,52655
coc,172317
occ,77223
ccf,89669
cfc,100619
fcf,44739
cfo,30126
fof,12721
ofc,56377
ocf,31967
oco,44370
cff,64048
ffm,17281
fmc,61453
mcf,67803
fcm,75174
ffc,45545
ccc,48655
ffo,5817
ofm,9505
com,7874
omf,939
foo,1265
ooc,4903
cfm,39385
coo,4312
fcc,77992
cco,73633
fmf,6664
mfm,4094
fmo,1089
moc,10006
cmo,11205
mof,1444
fff,3618
omc,8446
mmo,54
mff,2707
off,1888
fmm,1059
oof,1245
omm,116
fom,1300
mom,462
ooo,68
mmf,1561
moo,625
oom,54
omo,189
mmm,32
