r-gram,Counts
mcm,109585
cmc,191020
cmu,46657
muc,16767
ucm,22748
cmf,36907
mfo,2022
foc,18927
ocm,43378
cmm,8523
mmc,10212
mco,61288
cof,47408
ofo,7325
mfc,32253
fco,38656
coc,74670
occ,37202
ccf,44497
cfc,54012
fcf,33686
cfo,23741
fof,12721
ofc,32648
ocf,23422
oco,20999
cou,37224
ouf,8545
uff,16152
ffm,17281
fmu,8442
muf,10085
ufu,4474
fum,21415
umc,87547
cff,47896
ffc,37287
fcm,53759
mcc,73723
ccc,16800
ccm,62623
oum,20292
umu,19464
muu,13386
uuc,5549
fmc,53011
mcu,45865
cum,41795
ffo,5817
ofm,9505
com,5922
omf,939
fou,11077
ouo,23371
uoc,46714
cuc,13646
ucf,16833
ocu,24690
cuf,19590
fuo,13999
foo,1265
ooc,2786
cfm,31190
uoo,1252
muo,12242
mcf,57718
fcu,26058
cuo,19026
ffu,8258
ofu,23729
mum,26151
cco,30536
uof,12277
uco,16805
fmf,6664
cfu,19317
coo,3060
fcc,26857
umm,4139
fuc,14421
uou,13709
ouu,6131
ouc,9200
fuf,11053
ufc,22816
umf,10771
mfu,15766
mfm,4094
fmo,1089
moc,6594
ufm,8195
uuf,8749
ufo,6385
cmo,8986
mof,1444
uum,14487
ccu,2778
mmu,2010
fff,3618
fuu,10656
cuu,5878
uom,1952
omc,6388
mmo,54
mou,3412
mff,2707
off,1888
fmm,1059
omu,2058
oof,1245
omm,116
uuo,7266
fom,1300
ucc,2652
uuu,807
umo,2219
mom,462
oou,2117
ooo,68
mmf,1561
moo,625
oom,54
omo,189
ucu,545
mmm,32
