r-gram,Counts
bəxən,276
hiəmə,794
iəməl,810
xəskɑ,55
əskɑp,49
skɑpə,175
døyst,171
øystə,698
ystər,695
stərn,139
tərnə,139
ərnəs,227
værəl,285
ærəlt,271
rəltf,11
əltfl,11
ltflu,11
tflut,13
xəswi,82
əswiə,164
swiəf,6
vɑtər,705
ɑtərs,246
skɛɪd,19
kɛɪdə,19
ɛɪdəŋ,147
xəmɑk,1109
tœsən,322
xənum,256
iərst,364
ərstə,832
øytsp,130
ytspɐ,23
tspɐn,23
spɐns,17
pɐnsə,17
ɐnsəl,18
xəskɛ,151
əskɛɪ,25
twiəd,203
wiədə,196
fərsɑ,290
ərsɑm,266
rsɑmə,187
sɑməl,221
sʊədɐ,1364
xrɔnt,451
səxbɑ,19
əxbɑr,22
ɑmələ,11
mələŋ,51
fʊərt,179
ʊərtb,19
ərtbr,18
rtbrə,14
tbrəŋ,45
xrɐsp,7
rɐspr,7
ɐsprø,7
sprøy,131
prøyc,9
røyci,9
øycis,10
plɐnt,122
lɐntə,42
bʊəmə,149
fɔlxə,984
ɔlxən,922
lxəns,838
sʊərt,68
ʊərtə,264
frœxt,141
rœxtə,147
vɑrən,90
ʊərtx,51
ərtxə,38
rtxəb,13
txəbr,75
xəbrə,677
əbrəŋ,677
dærdə,186
ləxtə,84
tiəkə,260
iəkən,373
əkəns,100
sʊəvæ,154
ʊəvæl,154
fɐstə,47
ɐsʊək,2
xrʊət,1249
hiərs,200
klɛɪn,349
stærə,53
xəstæ,563
əstæl,354
firdə,71
viəmə,16
xəviə,342
əviəm,4
liəvə,1309
iəvən,554
əvənd,318
vəndə,342
viəsə,108
iəsən,67
əsəns,47
fuəls,111
siədi,4
iədir,7
ədirə,6
bəviə,89
əviəx,93
xəflø,7
əfløə,5
fløəə,34
løəəl,34
øəəld,5
əəldə,5
xəsiə,157
əsiən,156
frœxb,57
rœxbɑ,59
œxbɑr,59
fərmi,169
ərmiə,178
rmiər,112
miərd,95
iərdə,308
ərdər,171
fɛɪfd,55
ɛɪfdə,55
krøyp,51
røypə,24
øypən,20
ypənd,20
pəndə,48
vəldə,204
mẽnsə,889
biəlt,137
xəlɛɪ,414
əlɛɪk,218
lɛɪkə,122
ɛɪkən,69
ɪkənə,65
kənəs,71
hiələ,1364
ɔnərv,121
nərvæ,41
ərvær,365
rværp,315
færdə,955
ærdər,665
bʊəmf,1
ʊəmfr,1
əmfrœ,1
mfrœx,1
futsə,114
utsəl,114
sɛsdə,45
fɔltʊ,32
ɔltʊɪ,32
xɐnsə,56
liərm,31
iərmɐ,24
ərmɐx,28
siəvə,709
xərœs,57
xəhɛɪ,121
əhɛɪl,78
hɛɪlə,1238
ɛɪləx,1280
ɔmdɐt,842
dɑrɔp,818
xəski,104
əskid,65
skidə,65
kidən,65
idənə,65
dənəs,136
hiərə,8046
strøy,127
trøyk,117
røykə,128
øytxə,1355
ytxəs,307
txəsp,68
xəspr,887
əsprø,7
prøyt,114
bəvær,63
əværk,111
ɔpxət,193
pxətr,163
xətræ,683
ətræk,718
ɑrtbʊ,11
rtbʊə,11
tbʊəd,11
bʊədə,24
ʊədəm,21
bəfɔx,5
əfɔxt,5
fɔxtə,7
ɔxtəx,7
xəfɔr,36
əfɔrm,17
fɔrmi,31
ɔrmiə,31
xəblɑ,49
əblɑs,49
xəvɔr,940
əvɔrt,908
xəplɐ,43
əplɐn,46
iədən,67
ʊəstə,213
xəxiə,1181
ɐlərh,181
lərhɐ,111
ərhɐn,290
rhɐnd,123
hɐndə,911
ytspr,97
tsprø,38
bəxiə,201
əxiər,357
xiərl,43
iərlə,468
ərlək,768
mədəl,125
kɛnəs,163
rəfir,124
ytxəx,270
txəxɑ,223
xəxɑn,1008
dɑrfɐ,496
ɑrfɐn,597
rfɐnd,138
fɐndɑ,179
ɐndɑn,161
fərdi,185
ərdiə,508
rdiəl,473
lʊəpə,41
pisɔn,1
hɑvil,7
ɑvilɐ,7
bɐlsə,23
ɐlsəm,24
lsəmx,4
səmxɔ,2
əmxɔm,2
ʊənək,15
ənəks,17
nəkss,8
əksst,8
kssti,8
sstiə,10
stiən,232
xihɔn,6
hədiə,2
ədiək,2
diəkə,5
iəkəl,18
xəniə,840
əniəm,757
bəvɑk,57
bəfæl,367
siəkə,354
iəkər,477
əkərl,209
kərlə,209
stærv,463
tærvə,463
ɐliən,202
xəfən,267
əfənt,270
tərvɛ,670
ərvɛɪ,828
rvɛɪl,707
rəbəb,1
əbəbi,1
bəbiə,1
əbiən,71
biənə,56
fliəs,333
tuxəm,11
uxəmɑ,7
ɛɪndə,322
ɪndəl,20
ndələ,145
dələk,335
xəbiə,106
biənt,52
iəntə,185
mɐnən,1
dɑrɔm,794
fɑdər,1650
mudər,381
fərlɑ,230
ərlɑt,236
ɑŋkli,8
ŋkliə,8
kliəf,32
ɐltwi,66
ltwiə,66
əskɑm,132
ləstə,34
əstəx,38
stəxə,84
təxər,9
ɐntvʊ,976
ntvʊə,981
tvʊər,980
ɑnrur,1
ɐndər,1271
ndərs,2015
xəvəs,35
ʊəpxɑ,4
əpxɑn,4
ʊədɐt,1036
fərst,690
ərstɐ,267
rstɐn,251
stɐnt,270
fərkr,90
ərkrɛ,86
rkrɛɪ,87
xəiət,208
xəvɑr,41
fɛɪəb,48
ɛɪəbl,1
ɪəblɑ,1
əblɑr,1
blɑrə,20
ɑnmək,18
nməkɑ,44
məkɑr,432
əkɑrx,61
kɑrxə,61
ɑrxəv,7
rxəvæ,29
xəvær,132
skɔrt,3
kɔrtə,5
xəhʊə,477
əhʊər,736
vɐndə,369
ɐndəl,856
ɑntvə,3
ntvəi,1
tvəiŋ,1
vəiŋc,1
əiŋci,52
fərbæ,91
ərbær,91
rbærx,106
ɑnxəs,1053
nxəsə,817
xəsəx,996
vʊərt,1701
xərøy,44
ərøys,16
xəfri,43
əfriə,195
friəs,550
vɑrfɐ,132
bəfiə,413
əfiəl,444
xədun,845
bədri,69
ədrix,59
fərfl,117
ərflu,227
rfluk,110
fɛɪɐn,383
ɛɪɐnt,122
ɪɐnts,15
ɐntsk,17
ntskɐ,23
tskɐp,349
fərmɔ,7
ərmɔr,10
rmɔrs,7
mɔrsə,7
ɔrsəl,7
hɐksk,14
ɐkski,14
kskiə,15
skiən,20
rʊətl,22
ʊətlə,24
ətlək,24
tləks,25
muɪtə,80
swɐŋə,56
wɐŋər,56
ɐŋərs,77
ŋərsk,3
ərskɐ,162
rskɐp,74
smɐrt,63
kəndə,1869
əndər,1964
xiərt,50
iərtə,211
xəløy,234
əløys,154
løyst,524
ɔntvə,109
ntvəl,105
dʊərə,73
ʊərəŋ,408
ərəŋs,158
dəstə,23
əstəl,76
stəls,85
swiət,3
brʊət,310
tɔdɐt,282
trœxk,134
rœxki,62
œxkiə,62
xkiər,62
dɑrøy,65
ɑrøyt,71
ɑnxət,67
nxətr,59
øytst,86
ytsti,24
tstiə,36
stiək,399
iəvəx,657
əvəxɛ,226
vəxɛɪ,227
əxɛɪt,1195
vɑrøy,13
væxəd,49
æxədr,47
xədrɛ,68
ədrɛɪ,128
drɛɪv,178
rɛɪvə,660
xərœb,65
ərœbs,65
əstək,46
stəkɐ,79
təkɐn,180
əkɐnt,198
swɑrt,402
fləkə,92
ləkər,37
tuxɐŋ,7
bəkɛn,249
xəbɑr,142
dɑrnɑ,353
skɑph,1
kɑphæ,1
ɑphær,1
phærd,1
